"IDDIRECCION","DETALLEDIRECCION","IDDISTRITO"
758,"El centro de SanRafael de Heredia",30501
759,"Casa #3 Hatillo 8",30502
760,"Oroci de Cartago",30503
761,"Heredia Centro",30504
762,"Ciudad quesada,San Carlos",30505
763,"El centro de SanRafael de Heredia",30506
764,"Casa #3 Hatillo 8",30507
765,"Oroci de Cartago",30508
766,"Heredia Centro",30509
767,"Ciudad quesada,San Carlos",30510
768,"El centro de SanRafael de Heredia",30511
769,"Casa #3 Hatillo 8",30512
770,"Oroci de Cartago",30601
771,"Heredia Centro",30602
772,"Ciudad quesada,San Carlos",30603
773,"El centro de SanRafael de Heredia",30701
774,"Casa #3 Hatillo 8",30702
775,"Oroci de Cartago",30703
776,"Heredia Centro",30704
777,"Ciudad quesada,San Carlos",30705
778,"El centro de SanRafael de Heredia",30801
779,"Casa #3 Hatillo 8",30802
780,"Oroci de Cartago",30803
781,"Heredia Centro",30804
782,"Ciudad quesada,San Carlos",40101
783,"El centro de SanRafael de Heredia",40102
784,"Casa #3 Hatillo 8",40103
785,"Oroci de Cartago",40104
786,"Heredia Centro",40105
787,"Ciudad quesada,San Carlos",40201
788,"El centro de SanRafael de Heredia",40202
789,"Casa #3 Hatillo 8",40203
790,"Oroci de Cartago",40204
791,"Heredia Centro",40205
792,"Ciudad quesada,San Carlos",40206
793,"El centro de SanRafael de Heredia",40301
794,"Casa #3 Hatillo 8",40302
795,"Oroci de Cartago",40303
796,"Heredia Centro",40304
797,"Ciudad quesada,San Carlos",40305
798,"El centro de SanRafael de Heredia",40306
799,"Casa #3 Hatillo 8",40307
800,"Oroci de Cartago",40308
801,"Heredia Centro",40401
802,"Ciudad quesada,San Carlos",40402
803,"El centro de SanRafael de Heredia",40403
804,"Casa #3 Hatillo 8",40404
805,"Oroci de Cartago",40405
806,"Heredia Centro",40406
807,"Ciudad quesada,San Carlos",40501
808,"El centro de SanRafael de Heredia",40502
809,"Casa #3 Hatillo 8",40503
810,"Oroci de Cartago",40504
811,"Heredia Centro",40505
812,"Ciudad quesada,San Carlos",40601
813,"El centro de SanRafael de Heredia",40602
814,"Casa #3 Hatillo 8",40603
815,"Oroci de Cartago",40604
816,"Heredia Centro",40701
817,"Ciudad quesada,San Carlos",40702
818,"El centro de SanRafael de Heredia",40703
819,"Casa #3 Hatillo 8",40801
820,"Oroci de Cartago",40802
821,"Heredia Centro",40803
822,"Ciudad quesada,San Carlos",40901
823,"El centro de SanRafael de Heredia",40902
824,"Casa #3 Hatillo 8",41001
825,"Oroci de Cartago",41002
826,"Heredia Centro",41003
827,"Ciudad quesada,San Carlos",41004
828,"El centro de SanRafael de Heredia",41005
829,"Casa #3 Hatillo 8",50101
830,"Oroci de Cartago",50102
831,"Heredia Centro",50103
832,"Ciudad quesada,San Carlos",50104
833,"El centro de SanRafael de Heredia",50105
834,"Casa #3 Hatillo 8",50201
835,"Oroci de Cartago",50202
836,"Heredia Centro",50203
837,"Ciudad quesada,San Carlos",50204
838,"El centro de SanRafael de Heredia",50205
839,"Casa #3 Hatillo 8",50206
840,"Oroci de Cartago",50207
841,"Heredia Centro",50301
842,"Ciudad quesada,San Carlos",50302
843,"El centro de SanRafael de Heredia",50303
844,"Casa #3 Hatillo 8",50304
845,"Oroci de Cartago",50305
846,"Heredia Centro",50306
847,"Ciudad quesada,San Carlos",50307
848,"El centro de SanRafael de Heredia",50308
849,"Casa #3 Hatillo 8",50309
850,"Oroci de Cartago",50401
851,"Heredia Centro",50402
852,"Ciudad quesada,San Carlos",50403
853,"El centro de SanRafael de Heredia",50404
854,"Casa #3 Hatillo 8",50501
855,"Oroci de Cartago",50502
856,"Heredia Centro",50503
857,"Ciudad quesada,San Carlos",50504
858,"El centro de SanRafael de Heredia",50601
859,"Casa #3 Hatillo 8",50602
860,"Oroci de Cartago",50603
861,"Heredia Centro",50604
862,"Ciudad quesada,San Carlos",50605
863,"El centro de SanRafael de Heredia",50701
864,"Casa #3 Hatillo 8",50702
865,"Oroci de Cartago",50703
866,"Heredia Centro",50704
867,"Ciudad quesada,San Carlos",50801
868,"El centro de SanRafael de Heredia",50802
869,"Casa #3 Hatillo 8",50803
870,"Oroci de Cartago",50804
871,"Heredia Centro",50805
872,"Ciudad quesada,San Carlos",50806
873,"El centro de SanRafael de Heredia",50807
874,"Casa #3 Hatillo 8",50808
875,"Oroci de Cartago",50901
876,"Heredia Centro",50902
877,"Ciudad quesada,San Carlos",50903
878,"El centro de SanRafael de Heredia",50904
879,"Casa #3 Hatillo 8",50905
880,"Oroci de Cartago",50906
881,"Heredia Centro",51001
882,"Ciudad quesada,San Carlos",51002
883,"El centro de SanRafael de Heredia",51003
884,"Casa #3 Hatillo 8",51004
885,"Oroci de Cartago",51101
886,"Heredia Centro",51102
887,"Ciudad quesada,San Carlos",51103
888,"El centro de SanRafael de Heredia",51104
889,"Casa #3 Hatillo 8",51105
890,"Oroci de Cartago",60101
891,"Heredia Centro",60102
892,"Ciudad quesada,San Carlos",60103
893,"El centro de SanRafael de Heredia",60104
894,"Casa #3 Hatillo 8",60105
895,"Oroci de Cartago",60106
896,"Heredia Centro",60107
897,"Ciudad quesada,San Carlos",60108
898,"El centro de SanRafael de Heredia",60110
899,"Casa #3 Hatillo 8",60111
900,"Oroci de Cartago",60112
901,"Heredia Centro",60113
902,"Ciudad quesada,San Carlos",60114
903,"El centro de SanRafael de Heredia",60115
904,"Casa #3 Hatillo 8",60116
905,"Oroci de Cartago",60201
906,"Heredia Centro",60202
907,"Ciudad quesada,San Carlos",60203
908,"El centro de SanRafael de Heredia",60204
909,"Casa #3 Hatillo 8",60205
910,"Oroci de Cartago",60206
911,"Heredia Centro",60301
912,"Ciudad quesada,San Carlos",60302
913,"El centro de SanRafael de Heredia",60303
914,"Casa #3 Hatillo 8",60304
915,"Oroci de Cartago",60305
916,"Heredia Centro",60306
917,"Ciudad quesada,San Carlos",60307
918,"El centro de SanRafael de Heredia",60308
919,"Casa #3 Hatillo 8",60309
920,"Oroci de Cartago",60401
921,"Heredia Centro",60402
922,"Ciudad quesada,San Carlos",60403
923,"El centro de SanRafael de Heredia",60501
924,"Casa #3 Hatillo 8",60502
925,"Oroci de Cartago",60503
926,"Heredia Centro",60504
927,"Ciudad quesada,San Carlos",60505
928,"El centro de SanRafael de Heredia",60506
929,"Casa #3 Hatillo 8",60601
930,"Oroci de Cartago",60602
931,"Heredia Centro",60603
932,"Ciudad quesada,San Carlos",60701
933,"El centro de SanRafael de Heredia",60702
934,"Casa #3 Hatillo 8",60703
935,"Oroci de Cartago",60704
936,"Heredia Centro",60801
937,"Ciudad quesada,San Carlos",60802
938,"El centro de SanRafael de Heredia",60803
939,"Casa #3 Hatillo 8",60804
940,"Oroci de Cartago",60805
941,"Heredia Centro",60806
942,"Ciudad quesada,San Carlos",60901
943,"El centro de SanRafael de Heredia",61001
944,"Casa #3 Hatillo 8",61002
945,"Oroci de Cartago",61003
946,"Heredia Centro",61004
947,"Ciudad quesada,San Carlos",61101
948,"El centro de SanRafael de Heredia",61102
949,"Casa #3 Hatillo 8",61103
950,"Oroci de Cartago",61201
951,"Heredia Centro",70101
952,"Ciudad quesada,San Carlos",70102
953,"El centro de SanRafael de Heredia",70103
954,"Casa #3 Hatillo 8",70104
955,"Oroci de Cartago",70201
956,"Heredia Centro",70202
957,"Ciudad quesada,San Carlos",70203
958,"El centro de SanRafael de Heredia",70204
959,"Casa #3 Hatillo 8",70205
960,"Oroci de Cartago",70206
961,"Heredia Centro",70207
962,"Ciudad quesada,San Carlos",70301
963,"El centro de SanRafael de Heredia",70302
964,"Casa #3 Hatillo 8",70303
965,"Oroci de Cartago",70304
966,"Heredia Centro",70305
967,"Ciudad quesada,San Carlos",70306
968,"El centro de SanRafael de Heredia",70307
969,"Casa #3 Hatillo 8",70401
970,"Oroci de Cartago",70402
971,"Heredia Centro",70403
972,"Ciudad quesada,San Carlos",70404
973,"El centro de SanRafael de Heredia",70501
974,"Casa #3 Hatillo 8",70502
975,"Oroci de Cartago",70503
976,"Heredia Centro",70601
977,"Ciudad quesada,San Carlos",70602
978,"El centro de SanRafael de Heredia",70603
979,"Casa #3 Hatillo 8",70604
980,"Oroci de Cartago",70605
981,"Heredia Centro",10101
982,"Ciudad quesada,San Carlos",10102
983,"El centro de SanRafael de Heredia",10103
984,"Casa #3 Hatillo 8",10104
985,"Oroci de Cartago",10105
986,"Heredia Centro",10106
987,"Ciudad quesada,San Carlos",10107
988,"El centro de SanRafael de Heredia",10108
989,"Casa #3 Hatillo 8",10109
990,"Oroci de Cartago",10110
991,"Heredia Centro",10111
992,"Ciudad quesada,San Carlos",10201
993,"El centro de SanRafael de Heredia",10202
994,"Casa #3 Hatillo 8",10203
995,"Oroci de Cartago",10301
996,"Heredia Centro",10302
997,"Ciudad quesada,San Carlos",10303
998,"El centro de SanRafael de Heredia",10304
999,"Casa #3 Hatillo 8",10305
1000,"Oroci de Cartago",10306
1001,"Heredia Centro",10307
1002,"Ciudad quesada,San Carlos",10308
1003,"El centro de SanRafael de Heredia",10309
1004,"Casa #3 Hatillo 8",10310
1005,"Oroci de Cartago",10311
1006,"Heredia Centro",10312
1007,"Ciudad quesada,San Carlos",10313
1008,"El centro de SanRafael de Heredia",10401
1009,"Casa #3 Hatillo 8",10402
1010,"Oroci de Cartago",10403
1011,"Heredia Centro",10404
1012,"Ciudad quesada,San Carlos",10405
1013,"El centro de SanRafael de Heredia",10406
1014,"Casa #3 Hatillo 8",10407
1015,"Oroci de Cartago",10408
1016,"Heredia Centro",10409
1017,"Ciudad quesada,San Carlos",10501
1018,"El centro de SanRafael de Heredia",10502
1019,"Casa #3 Hatillo 8",10503
1020,"Oroci de Cartago",10601
1021,"Heredia Centro",10602
1022,"Ciudad quesada,San Carlos",10603
1023,"El centro de SanRafael de Heredia",10604
1024,"Casa #3 Hatillo 8",10605
1025,"Oroci de Cartago",10606
1026,"Heredia Centro",10607
1027,"Ciudad quesada,San Carlos",10701
1028,"El centro de SanRafael de Heredia",10702
1029,"Casa #3 Hatillo 8",10703
1030,"Oroci de Cartago",10704
1031,"Heredia Centro",10705
1032,"Ciudad quesada,San Carlos",10706
1033,"El centro de SanRafael de Heredia",10707
1034,"Casa #3 Hatillo 8",10801
1035,"Oroci de Cartago",10802
1036,"Heredia Centro",10803
1037,"Ciudad quesada,San Carlos",10804
1038,"El centro de SanRafael de Heredia",10805
1039,"Casa #3 Hatillo 8",10806
1040,"Oroci de Cartago",10807
1041,"Heredia Centro",10901
1042,"Ciudad quesada,San Carlos",10902
1043,"El centro de SanRafael de Heredia",10903
1044,"Casa #3 Hatillo 8",10904
1045,"Oroci de Cartago",10905
1046,"Heredia Centro",10906
1047,"Ciudad quesada,San Carlos",11001
1048,"El centro de SanRafael de Heredia",11002
1049,"Casa #3 Hatillo 8",11003
1050,"Oroci de Cartago",11004
1051,"Heredia Centro",11005
1052,"Ciudad quesada,San Carlos",11101
1053,"El centro de SanRafael de Heredia",11102
1054,"Casa #3 Hatillo 8",11103
1055,"Oroci de Cartago",11104
1056,"Heredia Centro",11105
1057,"Ciudad quesada,San Carlos",11201
1058,"El centro de SanRafael de Heredia",11202
1059,"Casa #3 Hatillo 8",11203
1060,"Oroci de Cartago",11204
1061,"Heredia Centro",11205
1062,"Ciudad quesada,San Carlos",11301
1063,"El centro de SanRafael de Heredia",11302
1064,"Casa #3 Hatillo 8",11303
1065,"Oroci de Cartago",11304
1066,"Heredia Centro",11305
1067,"Ciudad quesada,San Carlos",11401
1068,"El centro de SanRafael de Heredia",11402
1069,"Casa #3 Hatillo 8",11403
1070,"Oroci de Cartago",11501
1071,"Heredia Centro",11502
1072,"Ciudad quesada,San Carlos",11503
1073,"El centro de SanRafael de Heredia",11504
1074,"Casa #3 Hatillo 8",11601
1075,"Oroci de Cartago",11602
1076,"Heredia Centro",11603
1077,"Ciudad quesada,San Carlos",11604
1078,"El centro de SanRafael de Heredia",11605
1079,"Casa #3 Hatillo 8",11701
1080,"Oroci de Cartago",11702
1081,"Heredia Centro",11703
1082,"Ciudad quesada,San Carlos",11801
1083,"El centro de SanRafael de Heredia",11802
1084,"Casa #3 Hatillo 8",11803
1085,"Oroci de Cartago",11804
1086,"Heredia Centro",11901
1087,"Ciudad quesada,San Carlos",11902
1088,"El centro de SanRafael de Heredia",11903
1089,"Casa #3 Hatillo 8",11904
1090,"Oroci de Cartago",11905
1091,"Heredia Centro",11906
1092,"Ciudad quesada,San Carlos",11907
1093,"El centro de SanRafael de Heredia",11908
1094,"Casa #3 Hatillo 8",11909
1095,"Oroci de Cartago",11910
1096,"Heredia Centro",11911
1097,"Ciudad quesada,San Carlos",11912
1098,"El centro de SanRafael de Heredia",12001
1099,"Casa #3 Hatillo 8",12002
1100,"Oroci de Cartago",12003
1101,"Heredia Centro",12004
1102,"Ciudad quesada,San Carlos",12005
1103,"El centro de SanRafael de Heredia",12006
1104,"Casa #3 Hatillo 8",20101
1105,"Oroci de Cartago",20102
1106,"Heredia Centro",20103
1107,"Ciudad quesada,San Carlos",20104
1108,"El centro de SanRafael de Heredia",20105
1109,"Casa #3 Hatillo 8",20106
1110,"Oroci de Cartago",20107
1111,"Heredia Centro",20108
1112,"Ciudad quesada,San Carlos",20109
1113,"El centro de SanRafael de Heredia",20110
1114,"Casa #3 Hatillo 8",20111
1115,"Oroci de Cartago",20112
1116,"Heredia Centro",20113
1117,"Ciudad quesada,San Carlos",20114
1118,"El centro de SanRafael de Heredia",20201
1119,"Casa #3 Hatillo 8",20202
1120,"Oroci de Cartago",20203
1121,"Heredia Centro",20204
1122,"Ciudad quesada,San Carlos",20205
1123,"El centro de SanRafael de Heredia",20206
1124,"Casa #3 Hatillo 8",20207
1125,"Oroci de Cartago",20208
1126,"Heredia Centro",20209
1127,"Ciudad quesada,San Carlos",20210
1128,"El centro de SanRafael de Heredia",20211
1129,"Casa #3 Hatillo 8",20212
1130,"Oroci de Cartago",20213
1131,"Heredia Centro",20214
1132,"Ciudad quesada,San Carlos",20301
1133,"El centro de SanRafael de Heredia",20302
1134,"Casa #3 Hatillo 8",20303
1135,"Oroci de Cartago",20304
1136,"Heredia Centro",20305
1137,"Ciudad quesada,San Carlos",20307
1138,"El centro de SanRafael de Heredia",20308
1139,"Casa #3 Hatillo 8",20401
1140,"Oroci de Cartago",20402
1141,"Heredia Centro",20403
1142,"Ciudad quesada,San Carlos",20404
1143,"El centro de SanRafael de Heredia",20501
1144,"Casa #3 Hatillo 8",20502
1145,"Oroci de Cartago",20503
1146,"Heredia Centro",20504
1147,"Ciudad quesada,San Carlos",20505
1148,"El centro de SanRafael de Heredia",20506
1149,"Casa #3 Hatillo 8",20507
1150,"Oroci de Cartago",20508
1151,"Heredia Centro",20601
1152,"Ciudad quesada,San Carlos",20602
1153,"El centro de SanRafael de Heredia",20603
1154,"Casa #3 Hatillo 8",20604
1155,"Oroci de Cartago",20605
1156,"Heredia Centro",20606
1157,"Ciudad quesada,San Carlos",20607
1158,"El centro de SanRafael de Heredia",20608
1159,"Casa #3 Hatillo 8",20701
1160,"Oroci de Cartago",20702
1161,"Heredia Centro",20703
1162,"Ciudad quesada,San Carlos",20704
1163,"El centro de SanRafael de Heredia",20705
1164,"Casa #3 Hatillo 8",20706
1165,"Oroci de Cartago",20707
1166,"Heredia Centro",20801
1167,"Ciudad quesada,San Carlos",20802
1168,"El centro de SanRafael de Heredia",20803
1169,"Casa #3 Hatillo 8",20804
1170,"Oroci de Cartago",20805
1171,"Heredia Centro",20901
1172,"Ciudad quesada,San Carlos",20902
1173,"El centro de SanRafael de Heredia",20903
1174,"Casa #3 Hatillo 8",20904
1175,"Oroci de Cartago",20905
1176,"Heredia Centro",21001
1177,"Ciudad quesada,San Carlos",21002
1178,"El centro de SanRafael de Heredia",21003
1179,"Casa #3 Hatillo 8",21004
1180,"Oroci de Cartago",21005
1181,"Heredia Centro",21006
1182,"Ciudad quesada,San Carlos",21007
1183,"El centro de SanRafael de Heredia",21008
1184,"Casa #3 Hatillo 8",21009
1185,"Oroci de Cartago",21010
1186,"Heredia Centro",21011
1187,"Ciudad quesada,San Carlos",21012
1188,"El centro de SanRafael de Heredia",21013
1189,"Casa #3 Hatillo 8",21101
1190,"Oroci de Cartago",21102
1191,"Heredia Centro",21103
1192,"Ciudad quesada,San Carlos",21104
1193,"El centro de SanRafael de Heredia",21105
1194,"Casa #3 Hatillo 8",21106
1195,"Oroci de Cartago",21107
1196,"Heredia Centro",21201
1197,"Ciudad quesada,San Carlos",21202
1198,"El centro de SanRafael de Heredia",21203
1199,"Casa #3 Hatillo 8",21204
1200,"Oroci de Cartago",21205
1201,"Heredia Centro",21301
1202,"Ciudad quesada,San Carlos",21302
1203,"El centro de SanRafael de Heredia",21303
1204,"Casa #3 Hatillo 8",21304
1205,"Oroci de Cartago",21305
1206,"Heredia Centro",21306
1207,"Ciudad quesada,San Carlos",21307
1208,"El centro de SanRafael de Heredia",21308
1209,"Casa #3 Hatillo 8",21401
1210,"Oroci de Cartago",21402
1211,"Heredia Centro",21403
1212,"Ciudad quesada,San Carlos",21404
1213,"El centro de SanRafael de Heredia",21501
1214,"Casa #3 Hatillo 8",21502
1215,"Oroci de Cartago",21503
1216,"Heredia Centro",21504
1217,"Ciudad quesada,San Carlos",21601
1218,"El centro de SanRafael de Heredia",21602
1219,"Casa #3 Hatillo 8",21603
1220,"Oroci de Cartago",30101
1221,"Heredia Centro",30102
1222,"Ciudad quesada,San Carlos",30103
1223,"El centro de SanRafael de Heredia",30104
1224,"Casa #3 Hatillo 8",30105
1225,"Oroci de Cartago",30106
1226,"Heredia Centro",30107
1227,"Ciudad quesada,San Carlos",30108
1228,"El centro de SanRafael de Heredia",30109
1229,"Casa #3 Hatillo 8",30110
1230,"Oroci de Cartago",30111
1231,"Heredia Centro",30201
1232,"Ciudad quesada,San Carlos",30202
1233,"El centro de SanRafael de Heredia",30203
1234,"Casa #3 Hatillo 8",30204
1235,"Oroci de Cartago",30205
1236,"Heredia Centro",30206
1237,"Ciudad quesada,San Carlos",30301
1238,"El centro de SanRafael de Heredia",30302
1239,"Casa #3 Hatillo 8",30303
1240,"Oroci de Cartago",30304
1241,"Heredia Centro",30305
1242,"Ciudad quesada,San Carlos",30306
1243,"El centro de SanRafael de Heredia",30307
1244,"Casa #3 Hatillo 8",30308
1245,"Oroci de Cartago",30401
1246,"Heredia Centro",30402
1247,"Ciudad quesada,San Carlos",30403
1248,"El centro de SanRafael de Heredia",30501
1249,"Casa #3 Hatillo 8",30502
1250,"Oroci de Cartago",30503
1251,"Heredia Centro",30504
1252,"Ciudad quesada,San Carlos",30505
1253,"El centro de SanRafael de Heredia",30506
1254,"Casa #3 Hatillo 8",30507
1255,"Oroci de Cartago",30508
1256,"Heredia Centro",30509
1257,"Ciudad quesada,San Carlos",30510
1258,"El centro de SanRafael de Heredia",30511
1259,"Casa #3 Hatillo 8",30512
1260,"Oroci de Cartago",30601
1261,"Heredia Centro",30602
1262,"Ciudad quesada,San Carlos",30603
1263,"El centro de SanRafael de Heredia",30701
1264,"Casa #3 Hatillo 8",30702
1265,"Oroci de Cartago",30703
1266,"Heredia Centro",30704
1267,"Ciudad quesada,San Carlos",30705
1268,"El centro de SanRafael de Heredia",30801
1269,"Casa #3 Hatillo 8",30802
1270,"Oroci de Cartago",30803
1271,"Heredia Centro",30804
1272,"Ciudad quesada,San Carlos",40101
1273,"El centro de SanRafael de Heredia",40102
1274,"Casa #3 Hatillo 8",40103
1275,"Oroci de Cartago",40104
1276,"Heredia Centro",40105
1277,"Ciudad quesada,San Carlos",40201
1278,"El centro de SanRafael de Heredia",40202
1279,"Casa #3 Hatillo 8",40203
1280,"Oroci de Cartago",40204
1281,"Heredia Centro",40205
1282,"Ciudad quesada,San Carlos",40206
1283,"El centro de SanRafael de Heredia",40301
1284,"Casa #3 Hatillo 8",40302
1285,"Oroci de Cartago",40303
1286,"Heredia Centro",40304
1287,"Ciudad quesada,San Carlos",40305
1288,"El centro de SanRafael de Heredia",40306
1289,"Casa #3 Hatillo 8",40307
1290,"Oroci de Cartago",40308
1291,"Heredia Centro",40401
1292,"Ciudad quesada,San Carlos",40402
1293,"El centro de SanRafael de Heredia",40403
1294,"Casa #3 Hatillo 8",40404
1295,"Oroci de Cartago",40405
1296,"Heredia Centro",40406
1297,"Ciudad quesada,San Carlos",40501
1298,"El centro de SanRafael de Heredia",40502
1299,"Casa #3 Hatillo 8",40503
1300,"Oroci de Cartago",40504
1301,"Heredia Centro",40505
1302,"Ciudad quesada,San Carlos",40601
1303,"El centro de SanRafael de Heredia",40602
1304,"Casa #3 Hatillo 8",40603
1305,"Oroci de Cartago",40604
1306,"Heredia Centro",40701
1307,"Ciudad quesada,San Carlos",40702
1308,"El centro de SanRafael de Heredia",40703
1309,"Casa #3 Hatillo 8",40801
1310,"Oroci de Cartago",40802
1311,"Heredia Centro",40803
1312,"Ciudad quesada,San Carlos",40901
1313,"El centro de SanRafael de Heredia",40902
1314,"Casa #3 Hatillo 8",41001
1315,"Oroci de Cartago",41002
1316,"Heredia Centro",41003
1317,"Ciudad quesada,San Carlos",41004
1318,"El centro de SanRafael de Heredia",41005
1319,"Casa #3 Hatillo 8",50101
1320,"Oroci de Cartago",50102
1321,"Heredia Centro",50103
1322,"Ciudad quesada,San Carlos",50104
1323,"El centro de SanRafael de Heredia",50105
1324,"Casa #3 Hatillo 8",50201
1325,"Oroci de Cartago",50202
1326,"Heredia Centro",50203
1327,"Ciudad quesada,San Carlos",50204
1328,"El centro de SanRafael de Heredia",50205
1329,"Casa #3 Hatillo 8",50206
1330,"Oroci de Cartago",50207
1331,"Heredia Centro",50301
1332,"Ciudad quesada,San Carlos",50302
1333,"El centro de SanRafael de Heredia",50303
1334,"Casa #3 Hatillo 8",50304
1335,"Oroci de Cartago",50305
1336,"Heredia Centro",50306
1337,"Ciudad quesada,San Carlos",50307
1338,"El centro de SanRafael de Heredia",50308
1339,"Casa #3 Hatillo 8",50309
1340,"Oroci de Cartago",50401
1341,"Heredia Centro",50402
1342,"Ciudad quesada,San Carlos",50403
1343,"El centro de SanRafael de Heredia",50404
1344,"Casa #3 Hatillo 8",50501
1345,"Oroci de Cartago",50502
1346,"Heredia Centro",50503
1347,"Ciudad quesada,San Carlos",50504
1348,"El centro de SanRafael de Heredia",50601
1349,"Casa #3 Hatillo 8",50602
1350,"Oroci de Cartago",50603
1351,"Heredia Centro",50604
1352,"Ciudad quesada,San Carlos",50605
1353,"El centro de SanRafael de Heredia",50701
1354,"Casa #3 Hatillo 8",50702
1355,"Oroci de Cartago",50703
1356,"Heredia Centro",50704
1357,"Ciudad quesada,San Carlos",50801
1358,"El centro de SanRafael de Heredia",50802
1359,"Casa #3 Hatillo 8",50803
1360,"Oroci de Cartago",50804
1361,"Heredia Centro",50805
1362,"Ciudad quesada,San Carlos",50806
1363,"El centro de SanRafael de Heredia",50807
1364,"Casa #3 Hatillo 8",50808
1365,"Oroci de Cartago",50901
1366,"Heredia Centro",50902
1367,"Ciudad quesada,San Carlos",50903
1368,"El centro de SanRafael de Heredia",50904
1369,"Casa #3 Hatillo 8",50905
1370,"Oroci de Cartago",50906
1371,"Heredia Centro",51001
1372,"Ciudad quesada,San Carlos",51002
1373,"El centro de SanRafael de Heredia",51003
1374,"Casa #3 Hatillo 8",51004
1375,"Oroci de Cartago",51101
1376,"Heredia Centro",51102
1377,"Ciudad quesada,San Carlos",51103
1378,"El centro de SanRafael de Heredia",51104
1379,"Casa #3 Hatillo 8",51105
1380,"Oroci de Cartago",60101
1381,"Heredia Centro",60102
1382,"Ciudad quesada,San Carlos",60103
1383,"El centro de SanRafael de Heredia",60104
1384,"Casa #3 Hatillo 8",60105
1385,"Oroci de Cartago",60106
1386,"Heredia Centro",60107
1387,"Ciudad quesada,San Carlos",60108
1388,"El centro de SanRafael de Heredia",60110
1389,"Casa #3 Hatillo 8",60111
1390,"Oroci de Cartago",60112
1391,"Heredia Centro",60113
1392,"Ciudad quesada,San Carlos",60114
1393,"El centro de SanRafael de Heredia",60115
1394,"Casa #3 Hatillo 8",60116
1395,"Oroci de Cartago",60201
1396,"Heredia Centro",60202
1397,"Ciudad quesada,San Carlos",60203
1398,"El centro de SanRafael de Heredia",60204
1399,"Casa #3 Hatillo 8",60205
1400,"Oroci de Cartago",60206
1401,"Heredia Centro",60301
1402,"Ciudad quesada,San Carlos",60302
1403,"El centro de SanRafael de Heredia",60303
1404,"Casa #3 Hatillo 8",60304
1405,"Oroci de Cartago",60305
1406,"Heredia Centro",60306
1407,"Ciudad quesada,San Carlos",60307
1408,"El centro de SanRafael de Heredia",60308
1409,"Casa #3 Hatillo 8",60309
1410,"Oroci de Cartago",60401
1411,"Heredia Centro",60402
1412,"Ciudad quesada,San Carlos",60403
1413,"El centro de SanRafael de Heredia",60501
1414,"Casa #3 Hatillo 8",60502
1415,"Oroci de Cartago",60503
1416,"Heredia Centro",60504
1417,"Ciudad quesada,San Carlos",60505
1418,"El centro de SanRafael de Heredia",60506
1419,"Casa #3 Hatillo 8",60601
1420,"Oroci de Cartago",60602
1421,"Heredia Centro",60603
1422,"Ciudad quesada,San Carlos",60701
1423,"El centro de SanRafael de Heredia",60702
1424,"Casa #3 Hatillo 8",60703
1425,"Oroci de Cartago",60704
1426,"Heredia Centro",60801
1427,"Ciudad quesada,San Carlos",60802
1428,"El centro de SanRafael de Heredia",60803
1429,"Casa #3 Hatillo 8",60804
1430,"Oroci de Cartago",60805
1431,"Heredia Centro",60806
1432,"Ciudad quesada,San Carlos",60901
1433,"El centro de SanRafael de Heredia",61001
1434,"Casa #3 Hatillo 8",61002
1435,"Oroci de Cartago",61003
1436,"Heredia Centro",61004
1437,"Ciudad quesada,San Carlos",61101
1438,"El centro de SanRafael de Heredia",61102
1439,"Casa #3 Hatillo 8",61103
1440,"Oroci de Cartago",61201
1441,"Heredia Centro",70101
1442,"Ciudad quesada,San Carlos",70102
1443,"El centro de SanRafael de Heredia",70103
1444,"Casa #3 Hatillo 8",70104
1445,"Oroci de Cartago",70201
1446,"Heredia Centro",70202
1447,"Ciudad quesada,San Carlos",70203
1448,"El centro de SanRafael de Heredia",70204
1449,"Casa #3 Hatillo 8",70205
1450,"Oroci de Cartago",70206
1451,"Heredia Centro",70207
1452,"Ciudad quesada,San Carlos",70301
1453,"El centro de SanRafael de Heredia",70302
1454,"Casa #3 Hatillo 8",70303
1455,"Oroci de Cartago",70304
1456,"Heredia Centro",70305
1457,"Ciudad quesada,San Carlos",70306
1458,"El centro de SanRafael de Heredia",70307
1459,"Casa #3 Hatillo 8",70401
1460,"Oroci de Cartago",70402
1461,"Heredia Centro",70403
1462,"Ciudad quesada,San Carlos",70404
1463,"El centro de SanRafael de Heredia",70501
1464,"Casa #3 Hatillo 8",70502
1465,"Oroci de Cartago",70503
1466,"Heredia Centro",70601
1467,"Ciudad quesada,San Carlos",70602
1468,"El centro de SanRafael de Heredia",70603
1469,"Casa #3 Hatillo 8",70604
1470,"Oroci de Cartago",70605
1471,"Heredia Centro",10101
1472,"Ciudad quesada,San Carlos",10102
1473,"El centro de SanRafael de Heredia",10103
1474,"Casa #3 Hatillo 8",10104
1475,"Oroci de Cartago",10105
1476,"Heredia Centro",10106
1477,"Ciudad quesada,San Carlos",10107
1478,"El centro de SanRafael de Heredia",10108
1479,"Casa #3 Hatillo 8",10109
1480,"Oroci de Cartago",10110
1481,"Heredia Centro",10111
1482,"Ciudad quesada,San Carlos",10201
1483,"El centro de SanRafael de Heredia",10202
1484,"Casa #3 Hatillo 8",10203
1485,"Oroci de Cartago",10301
1486,"Heredia Centro",10302
1487,"Ciudad quesada,San Carlos",10303
1488,"El centro de SanRafael de Heredia",10304
1489,"Casa #3 Hatillo 8",10305
