"IDFACTURA","IDCARRITO","IDEMPLEADO","FECHAFACTURA","SUBTOTAL","IVA","TOTALFACTURA","IDFORMAPAGO"
1569,1569,588,3/25/2014,2000,1500,2000,1569
1570,1570,589,3/26/2014,3500,1500,3500,1570
1571,1571,590,3/27/2014,5000,1500,5000,1571
1572,1572,591,3/28/2014,15000,1500,15000,1572
1573,1573,592,3/29/2014,28500,1500,28500,1573
1574,1574,593,3/30/2014,2000,1500,2000,1574
1575,1575,594,3/31/2014,3500,1500,3500,1575
1576,1576,595,4/1/2014,5000,1500,5000,1576
1577,1577,596,4/2/2014,15000,1500,15000,1577
1578,1578,597,4/3/2014,28500,1500,28500,1578
1579,1579,598,4/4/2014,2000,1500,2000,1579
1580,1580,599,4/5/2014,3500,1500,3500,1580
1581,1581,600,4/6/2014,5000,1500,5000,1581
1582,1582,601,4/7/2014,15000,1500,15000,1582
1583,1583,602,4/8/2014,28500,1500,28500,1583
1584,1584,603,4/9/2014,2000,1500,2000,1584
1585,1585,604,4/10/2014,3500,1500,3500,1585
1586,1586,605,4/11/2014,5000,1500,5000,1586
1587,1587,606,4/12/2014,15000,1500,15000,1587
1588,1588,607,4/13/2014,28500,1500,28500,1588
1589,1589,608,4/14/2014,2000,1500,2000,1589
1590,1590,609,4/15/2014,3500,1500,3500,1590
1591,1591,610,4/16/2014,5000,1500,5000,1591
1592,1592,611,4/17/2014,15000,1500,15000,1592
1593,1593,612,4/18/2014,28500,1500,28500,1593
1594,1594,613,4/19/2014,2000,1500,2000,1594
1595,1595,614,4/20/2014,3500,1500,3500,1595
1596,1596,615,4/21/2014,5000,1500,5000,1596
1597,1597,616,4/22/2014,15000,1500,15000,1597
1598,1598,617,4/23/2014,28500,1500,28500,1598
1599,1599,618,4/24/2014,2000,1500,2000,1599
1600,1600,619,4/25/2014,3500,1500,3500,1600
1601,1601,620,4/26/2014,5000,1500,5000,1601
1602,1602,621,4/27/2014,15000,1500,15000,1602
1603,1603,622,4/28/2014,28500,1500,28500,1603
1604,1604,623,4/29/2014,2000,1500,2000,1604
1605,1605,624,4/30/2014,3500,1500,3500,1605
1606,1606,625,5/1/2014,5000,1500,5000,1606
1607,1607,626,5/2/2014,15000,1500,15000,1607
1608,1608,627,5/3/2014,28500,1500,28500,1608
1609,1609,628,5/4/2014,2000,1500,2000,1609
1610,1610,629,5/5/2014,3500,1500,3500,1610
1611,1611,630,5/6/2014,5000,1500,5000,1611
1612,1612,631,5/7/2014,15000,1500,15000,1612
1613,1613,632,5/8/2014,28500,1500,28500,1613
1614,1614,633,5/9/2014,2000,1500,2000,1614
1615,1615,634,5/10/2014,3500,1500,3500,1615
1616,1616,635,5/11/2014,5000,1500,5000,1616
1617,1617,636,5/12/2014,15000,1500,15000,1617
1618,1618,637,5/13/2014,28500,1500,28500,1618
1619,1619,638,5/14/2014,2000,1500,2000,1619
1620,1620,639,5/15/2014,3500,1500,3500,1620
1621,1621,640,5/16/2014,5000,1500,5000,1621
1622,1622,641,5/17/2014,15000,1500,15000,1622
1623,1623,642,5/18/2014,28500,1500,28500,1623
1624,1624,643,5/19/2014,2000,1500,2000,1624
1625,1625,644,5/20/2014,3500,1500,3500,1625
1626,1626,645,5/21/2014,5000,1500,5000,1626
1627,1627,646,5/22/2014,15000,1500,15000,1627
1628,1628,647,5/23/2014,28500,1500,28500,1628
1629,1629,648,5/24/2014,2000,1500,2000,1629
1630,1630,649,5/25/2014,3500,1500,3500,1630
1631,1631,650,5/26/2014,5000,1500,5000,1631
1632,1632,651,5/27/2014,15000,1500,15000,1632
1633,1633,652,5/28/2014,28500,1500,28500,1633
1634,1634,653,5/29/2014,2000,1500,2000,1634
1635,1635,654,5/30/2014,3500,1500,3500,1635
1636,1636,655,5/31/2014,5000,1500,5000,1636
1637,1637,656,6/1/2014,15000,1500,15000,1637
1638,1638,657,6/2/2014,28500,1500,28500,1638
1639,1639,658,6/3/2014,2000,1500,2000,1639
1640,1640,659,6/4/2014,3500,1500,3500,1640
1641,1641,660,6/5/2014,5000,1500,5000,1641
1642,1642,661,6/6/2014,15000,1500,15000,1642
1643,1643,662,6/7/2014,28500,1500,28500,1643
1644,1644,663,6/8/2014,2000,1500,2000,1644
1645,1645,664,6/9/2014,3500,1500,3500,1645
1646,1646,665,6/10/2014,5000,1500,5000,1646
1647,1647,666,6/11/2014,15000,1500,15000,1647
1648,1648,667,6/12/2014,28500,1500,28500,1648
1649,1649,668,6/13/2014,2000,1500,2000,1649
1650,1650,669,6/14/2014,3500,1500,3500,1650
1651,1651,670,6/15/2014,5000,1500,5000,1651
1652,1652,671,6/16/2014,15000,1500,15000,1652
1653,1653,672,6/17/2014,28500,1500,28500,1653
1654,1654,673,6/18/2014,2000,1500,2000,1654
1655,1655,674,6/19/2014,3500,1500,3500,1655
1656,1656,675,6/20/2014,5000,1500,5000,1656
1657,1657,676,6/21/2014,15000,1500,15000,1657
1658,1658,677,6/22/2014,28500,1500,28500,1658
1659,1659,678,6/23/2014,2000,1500,2000,1659
1660,1660,679,6/24/2014,3500,1500,3500,1660
1661,1661,680,6/25/2014,5000,1500,5000,1661
1662,1662,681,6/26/2014,15000,1500,15000,1662
1663,1663,682,6/27/2014,28500,1500,28500,1663
1664,1664,683,6/28/2014,2000,1500,2000,1664
1665,1665,684,6/29/2014,3500,1500,3500,1665
1666,1666,685,6/30/2014,5000,1500,5000,1666
1667,1667,686,7/1/2014,15000,1500,15000,1667
1668,1668,687,7/2/2014,28500,1500,28500,1668
1669,1669,688,7/3/2014,2000,1500,2000,1669
1670,1670,689,7/4/2014,3500,1500,3500,1670
1671,1671,690,7/5/2014,5000,1500,5000,1671
1672,1672,691,7/6/2014,15000,1500,15000,1672
1673,1673,692,7/7/2014,28500,1500,28500,1673
1674,1674,693,7/8/2014,2000,1500,2000,1674
1675,1675,694,7/9/2014,3500,1500,3500,1675
1676,1676,695,7/10/2014,5000,1500,5000,1676
1677,1677,696,7/11/2014,15000,1500,15000,1677
1678,1678,697,7/12/2014,28500,1500,28500,1678
1679,1679,698,7/13/2014,2000,1500,2000,1679
1680,1680,699,7/14/2014,3500,1500,3500,1680
1681,1681,700,7/15/2014,5000,1500,5000,1681
1682,1682,701,7/16/2014,15000,1500,15000,1682
1683,1683,702,7/17/2014,28500,1500,28500,1683
1684,1684,703,7/18/2014,2000,1500,2000,1684
1685,1685,704,7/19/2014,3500,1500,3500,1685
1686,1686,705,7/20/2014,5000,1500,5000,1686
1687,1687,706,7/21/2014,15000,1500,15000,1687
1688,1688,707,7/22/2014,28500,1500,28500,1688
1689,1689,708,7/23/2014,2000,1500,2000,1689
1690,1690,709,7/24/2014,3500,1500,3500,1690
1691,1691,710,7/25/2014,5000,1500,5000,1691
1692,1692,711,7/26/2014,15000,1500,15000,1692
1693,1693,712,7/27/2014,28500,1500,28500,1693
1694,1694,713,7/28/2014,2000,1500,2000,1694
1695,1695,714,7/29/2014,3500,1500,3500,1695
1696,1696,715,7/30/2014,5000,1500,5000,1696
1697,1697,716,7/31/2014,15000,1500,15000,1697
1698,1698,717,8/1/2014,28500,1500,28500,1698
1699,1699,718,8/2/2014,2000,1500,2000,1699
1700,1700,719,8/3/2014,3500,1500,3500,1700
1701,1701,720,8/4/2014,5000,1500,5000,1701
1702,1702,721,8/5/2014,15000,1500,15000,1702
1703,1703,722,8/6/2014,28500,1500,28500,1703
1704,1704,723,8/7/2014,2000,1500,2000,1704
1705,1705,724,8/8/2014,3500,1500,3500,1705
1706,1706,725,8/9/2014,5000,1500,5000,1706
1707,1707,726,8/10/2014,15000,1500,15000,1707
1708,1708,727,8/11/2014,28500,1500,28500,1708
1709,1709,728,8/12/2014,2000,1500,2000,1709
1710,1710,729,8/13/2014,3500,1500,3500,1710
1711,1711,730,8/14/2014,5000,1500,5000,1711
1712,1712,731,8/15/2014,15000,1500,15000,1712
1713,1713,732,8/16/2014,28500,1500,28500,1713
1714,1714,733,8/17/2014,2000,1500,2000,1714
1715,1715,734,8/18/2014,3500,1500,3500,1715
1716,1716,735,8/19/2014,5000,1500,5000,1716
1717,1717,736,8/20/2014,15000,1500,15000,1717
1718,1718,737,8/21/2014,28500,1500,28500,1718
1719,1719,738,8/22/2014,2000,1500,2000,1719
1720,1720,739,8/23/2014,3500,1500,3500,1720
1721,1721,740,8/24/2014,5000,1500,5000,1721
1722,1722,741,8/25/2014,15000,1500,15000,1722
1723,1723,742,8/26/2014,28500,1500,28500,1723
1724,1724,743,8/27/2014,2000,1500,2000,1724
1725,1725,744,8/28/2014,3500,1500,3500,1725
1726,1726,745,8/29/2014,5000,1500,5000,1726
1727,1727,746,8/30/2014,15000,1500,15000,1727
1728,1728,747,8/31/2014,28500,1500,28500,1728
1729,1729,748,9/1/2014,2000,1500,2000,1729
1730,1730,749,9/2/2014,3500,1500,3500,1730
1731,1731,750,9/3/2014,5000,1500,5000,1731
1732,1732,751,9/4/2014,2000,1500,2000,1732
1733,1733,752,9/5/2014,3500,1500,3500,1733
1734,1734,753,9/6/2014,5000,1500,5000,1734
1735,1735,754,9/7/2014,15000,1500,15000,1735
1736,1736,755,9/8/2014,28500,1500,28500,1736
1737,1737,756,9/9/2014,2000,1500,2000,1737
1738,1738,757,9/10/2014,3500,1500,3500,1738
1739,1739,758,9/11/2014,5000,1500,5000,1739
1740,1740,759,9/12/2014,15000,1500,15000,1740
1741,1741,760,9/13/2014,28500,1500,28500,1741
1742,1742,761,9/14/2014,2000,1500,2000,1742
1743,1743,762,9/15/2014,3500,1500,3500,1743
1744,1744,763,9/16/2014,5000,1500,5000,1744
1745,1745,764,9/17/2014,15000,1500,15000,1745
1746,1746,765,9/18/2014,28500,1500,28500,1746
1747,1747,766,9/19/2014,2000,1500,2000,1747
1748,1748,767,9/20/2014,3500,1500,3500,1748
1749,1749,768,9/21/2014,5000,1500,5000,1749
1750,1750,769,9/22/2014,15000,1500,15000,1750
1751,1751,770,9/23/2014,28500,1500,28500,1751
1752,1752,771,9/24/2014,2000,1500,2000,1752
1753,1753,772,9/25/2014,3500,1500,3500,1753
1754,1754,773,9/26/2014,5000,1500,5000,1754
1755,1755,774,9/27/2014,15000,1500,15000,1755
1756,1756,775,9/28/2014,28500,1500,28500,1756
1757,1757,776,9/29/2014,2000,1500,2000,1757
1758,1758,777,9/30/2014,3500,1500,3500,1758
1759,1759,778,10/1/2014,5000,1500,5000,1759
1760,1760,779,10/2/2014,15000,1500,15000,1760
1761,1761,780,10/3/2014,28500,1500,28500,1761
1762,1762,781,10/4/2014,2000,1500,2000,1762
1763,1763,782,10/5/2014,3500,1500,3500,1763
1764,1764,783,10/6/2014,5000,1500,5000,1764
1765,1765,784,10/7/2014,15000,1500,15000,1765
1766,1766,785,10/8/2014,28500,1500,28500,1766
1767,1767,786,10/9/2014,2000,1500,2000,1767
1768,1768,787,10/10/2014,3500,1500,3500,1768
1769,1769,788,10/11/2014,5000,1500,5000,1769
1770,1770,789,10/12/2014,15000,1500,15000,1770
1771,1771,790,10/13/2014,28500,1500,28500,1771
1772,1772,791,10/14/2014,2000,1500,2000,1772
1773,1773,792,10/15/2014,3500,1500,3500,1773
1774,1774,793,10/16/2014,5000,1500,5000,1774
1775,1775,794,10/17/2014,15000,1500,15000,1775
1776,1776,795,10/18/2014,28500,1500,28500,1776
1777,1777,796,10/19/2014,2000,1500,2000,1777
1778,1778,797,10/20/2014,3500,1500,3500,1778
1779,1779,798,10/21/2014,5000,1500,5000,1779
1780,1780,799,10/22/2014,15000,1500,15000,1780
1781,1781,800,10/23/2014,28500,1500,28500,1781
1782,1782,801,10/24/2014,2000,1500,2000,1782
1783,1783,802,10/25/2014,3500,1500,3500,1783
1784,1784,803,10/26/2014,5000,1500,5000,1784
1785,1785,804,10/27/2014,15000,1500,15000,1785
1786,1786,805,10/28/2014,28500,1500,28500,1786
1787,1787,806,10/29/2014,2000,1500,2000,1787
1788,1788,807,10/30/2014,3500,1500,3500,1788
1789,1789,808,10/31/2014,5000,1500,5000,1789
1790,1790,809,11/1/2014,15000,1500,15000,1790
1791,1791,810,11/2/2014,28500,1500,28500,1791
1792,1792,811,11/3/2014,2000,1500,2000,1792
1793,1793,812,11/4/2014,3500,1500,3500,1793
1794,1794,813,11/5/2014,5000,1500,5000,1794
1795,1795,814,11/6/2014,15000,1500,15000,1795
1796,1796,815,11/7/2014,28500,1500,28500,1796
1797,1797,816,11/8/2014,2000,1500,2000,1797
1798,1798,817,11/9/2014,3500,1500,3500,1798
1799,1799,818,11/10/2014,5000,1500,5000,1799
1800,1800,819,11/11/2014,15000,1500,15000,1800
1801,1801,820,11/12/2014,28500,1500,28500,1801
1802,1802,821,11/13/2014,2000,1500,2000,1802
1803,1803,822,11/14/2014,3500,1500,3500,1803
1804,1804,823,11/15/2014,5000,1500,5000,1804
1805,1805,824,11/16/2014,15000,1500,15000,1805
1806,1806,825,11/17/2014,28500,1500,28500,1806
1807,1807,826,11/18/2014,2000,1500,2000,1807
1808,1808,827,11/19/2014,3500,1500,3500,1808
1809,1809,828,11/20/2014,5000,1500,5000,1809
1810,1810,829,11/21/2014,15000,1500,15000,1810
1811,1811,830,11/22/2014,28500,1500,28500,1811
1812,1812,831,11/23/2014,2000,1500,2000,1812
1813,1813,832,11/24/2014,3500,1500,3500,1813
1814,1814,833,11/25/2014,5000,1500,5000,1814
1815,1815,834,11/26/2014,15000,1500,15000,1815
1816,1816,835,11/27/2014,28500,1500,28500,1816
1817,1817,836,11/28/2014,2000,1500,2000,1817
1818,1818,837,11/29/2014,3500,1500,3500,1818
1819,1819,838,11/30/2014,5000,1500,5000,1819
1820,1820,839,12/1/2014,15000,1500,15000,1820
1821,1821,840,12/2/2014,28500,1500,28500,1821
1822,1822,841,12/3/2014,2000,1500,2000,1822
1823,1823,842,12/4/2014,3500,1500,3500,1823
1824,1824,843,12/5/2014,5000,1500,5000,1824
1825,1825,844,12/6/2014,15000,1500,15000,1825
1826,1826,845,12/7/2014,28500,1500,28500,1826
1827,1827,846,12/8/2014,2000,1500,2000,1827
1828,1828,847,12/9/2014,3500,1500,3500,1828
1829,1829,848,12/10/2014,5000,1500,5000,1829
1830,1830,849,12/11/2014,15000,1500,15000,1830
1831,1831,850,12/12/2014,28500,1500,28500,1831
1832,1832,851,12/13/2014,2000,1500,2000,1832
1833,1833,852,12/14/2014,3500,1500,3500,1833
1834,1834,853,12/15/2014,5000,1500,5000,1834
1835,1835,854,12/16/2014,15000,1500,15000,1835
1836,1836,855,12/17/2014,28500,1500,28500,1836
1837,1837,856,12/18/2014,2000,1500,2000,1837
1838,1838,857,12/19/2014,3500,1500,3500,1838
1839,1839,858,12/20/2014,5000,1500,5000,1839
1840,1840,859,12/21/2014,15000,1500,15000,1840
1841,1841,860,12/22/2014,28500,1500,28500,1841
1842,1842,861,12/23/2014,2000,1500,2000,1842
1843,1843,862,12/24/2014,3500,1500,3500,1843
1844,1844,863,12/25/2014,5000,1500,5000,1844
1845,1845,864,12/26/2014,15000,1500,15000,1845
1846,1846,865,12/27/2014,28500,1500,28500,1846
1847,1847,866,12/28/2014,2000,1500,2000,1847
1848,1848,867,12/29/2014,3500,1500,3500,1848
1849,1849,868,12/30/2014,5000,1500,5000,1849
1850,1850,869,12/31/2014,15000,1500,15000,1850
1851,1851,870,1/1/2015,28500,1500,28500,1851
1852,1852,871,1/2/2015,2000,1500,2000,1852
1853,1853,872,1/3/2015,3500,1500,3500,1853
1854,1854,873,1/4/2015,5000,1500,5000,1854
1855,1855,874,1/5/2015,15000,1500,15000,1855
1856,1856,875,1/6/2015,28500,1500,28500,1856
1857,1857,876,1/7/2015,2000,1500,2000,1857
1858,1858,877,1/8/2015,3500,1500,3500,1858
1859,1859,878,1/9/2015,5000,1500,5000,1859
1860,1860,879,1/10/2015,15000,1500,15000,1860
1861,1861,880,1/11/2015,28500,1500,28500,1861
1862,1862,881,1/12/2015,2000,1500,2000,1862
1863,1863,882,1/13/2015,3500,1500,3500,1863
1864,1864,883,1/14/2015,5000,1500,5000,1864
1865,1865,884,1/15/2015,15000,1500,15000,1865
1866,1866,885,1/16/2015,28500,1500,28500,1866
1867,1867,886,1/17/2015,2000,1500,2000,1867
1868,1868,887,1/18/2015,3500,1500,3500,1868
1869,1869,888,1/19/2015,5000,1500,5000,1869
1870,1870,889,1/20/2015,15000,1500,15000,1870
1871,1871,890,1/21/2015,28500,1500,28500,1871
1872,1872,891,1/22/2015,2000,1500,2000,1872
1873,1873,892,1/23/2015,3500,1500,3500,1873
1874,1874,893,1/24/2015,5000,1500,5000,1874
1875,1875,894,1/25/2015,15000,1500,15000,1875
1876,1876,895,1/26/2015,28500,1500,28500,1876
1877,1877,896,1/27/2015,2000,1500,2000,1877
1878,1878,897,1/28/2015,3500,1500,3500,1878
1879,1879,898,1/29/2015,5000,1500,5000,1879
1880,1880,899,1/30/2015,15000,1500,15000,1880
1881,1881,900,1/31/2015,28500,1500,28500,1881
1882,1882,901,2/1/2015,2000,1500,2000,1882
1883,1883,902,2/2/2015,3500,1500,3500,1883
1884,1884,903,2/3/2015,5000,1500,5000,1884
1885,1885,904,2/4/2015,15000,1500,15000,1885
1886,1886,905,2/5/2015,28500,1500,28500,1886
1887,1887,906,2/6/2015,2000,1500,2000,1887
1888,1888,907,2/7/2015,3500,1500,3500,1888
1889,1889,908,2/8/2015,5000,1500,5000,1889
1890,1890,909,2/9/2015,15000,1500,15000,1890
1891,1891,910,2/10/2015,28500,1500,28500,1891
1892,1892,911,2/11/2015,2000,1500,2000,1892
1893,1893,912,2/12/2015,3500,1500,3500,1893
1894,1894,913,2/13/2015,5000,1500,5000,1894
1895,1895,914,2/14/2015,15000,1500,15000,1895
1896,1896,915,2/15/2015,28500,1500,28500,1896
1897,1897,916,2/16/2015,2000,1500,2000,1897
1898,1898,917,2/17/2015,3500,1500,3500,1898
1899,1899,918,2/18/2015,5000,1500,5000,1899
1900,1900,919,2/19/2015,15000,1500,15000,1900
1901,1901,920,2/20/2015,28500,1500,28500,1901
1902,1902,921,2/21/2015,2000,1500,2000,1902
1903,1903,922,2/22/2015,3500,1500,3500,1903
1904,1904,923,2/23/2015,5000,1500,5000,1904
1905,1905,924,2/24/2015,15000,1500,15000,1905
1906,1906,925,2/25/2015,28500,1500,28500,1906
1907,1907,926,2/26/2015,2000,1500,2000,1907
1908,1908,927,2/27/2015,3500,1500,3500,1908
1909,1909,928,2/28/2015,5000,1500,5000,1909
1910,1910,929,3/1/2015,15000,1500,15000,1910
1911,1911,930,3/2/2015,2000,1500,2000,1911
1912,1912,931,3/3/2015,3500,1500,3500,1912
1913,1913,932,3/4/2015,5000,1500,5000,1913
1914,1914,933,3/5/2015,15000,1500,15000,1914
1915,1915,934,3/6/2015,28500,1500,28500,1915
1916,1916,935,3/7/2015,2000,1500,2000,1916
1917,1917,936,3/8/2015,3500,1500,3500,1917
1918,1918,937,3/9/2015,5000,1500,5000,1918
1919,1919,938,3/10/2015,15000,1500,15000,1919
1920,1920,939,3/11/2015,28500,1500,28500,1920
1921,1921,940,3/12/2015,2000,1500,2000,1921
1922,1922,941,3/13/2015,3500,1500,3500,1922
1923,1923,942,3/14/2015,5000,1500,5000,1923
1924,1924,943,3/15/2015,15000,1500,15000,1924
1925,1925,944,3/16/2015,28500,1500,28500,1925
1926,1926,945,3/17/2015,2000,1500,2000,1926
1927,1927,946,3/18/2015,3500,1500,3500,1927
1928,1928,947,3/19/2015,5000,1500,5000,1928
1929,1929,948,3/20/2015,15000,1500,15000,1929
1930,1930,949,3/21/2015,28500,1500,28500,1930
1931,1931,950,3/22/2015,2000,1500,2000,1931
1932,1932,951,3/23/2015,3500,1500,3500,1932
1933,1933,952,3/24/2015,5000,1500,5000,1933
1934,1934,953,3/25/2015,15000,1500,15000,1934
1935,1935,954,3/26/2015,28500,1500,28500,1935
1936,1936,955,3/27/2015,2000,1500,2000,1936
1937,1937,956,3/28/2015,3500,1500,3500,1937
1938,1938,957,3/29/2015,5000,1500,5000,1938
1939,1939,958,3/30/2015,15000,1500,15000,1939
1940,1940,959,3/31/2015,28500,1500,28500,1940
1941,1941,960,4/1/2015,2000,1500,2000,1941
1942,1942,961,4/2/2015,3500,1500,3500,1942
1943,1943,962,4/3/2015,5000,1500,5000,1943
1944,1944,963,4/4/2015,15000,1500,15000,1944
1945,1945,964,4/5/2015,28500,1500,28500,1945
1946,1946,965,4/6/2015,2000,1500,2000,1946
1947,1947,966,4/7/2015,3500,1500,3500,1947
1948,1948,967,4/8/2015,5000,1500,5000,1948
1949,1949,968,4/9/2015,15000,1500,15000,1949
1950,1950,969,4/10/2015,28500,1500,28500,1950
1951,1951,970,4/11/2015,2000,1500,2000,1951
1952,1952,971,4/12/2015,3500,1500,3500,1952
1953,1953,972,4/13/2015,5000,1500,5000,1953
1954,1954,973,4/14/2015,15000,1500,15000,1954
1955,1955,974,4/15/2015,28500,1500,28500,1955
1956,1956,975,4/16/2015,2000,1500,2000,1956
1957,1957,976,4/17/2015,3500,1500,3500,1957
1958,1958,977,4/18/2015,5000,1500,5000,1958
1959,1959,978,4/19/2015,15000,1500,15000,1959
1960,1960,979,4/20/2015,28500,1500,28500,1960
1961,1961,980,4/21/2015,2000,1500,2000,1961
1962,1962,981,4/22/2015,3500,1500,3500,1962
1963,1963,982,4/23/2015,5000,1500,5000,1963
1964,1964,983,4/24/2015,15000,1500,15000,1964
1965,1965,984,4/25/2015,28500,1500,28500,1965
1966,1966,985,4/26/2015,2000,1500,2000,1966
1967,1967,986,4/27/2015,3500,1500,3500,1967
1968,1968,987,4/28/2015,5000,1500,5000,1968
1969,1969,988,4/29/2015,15000,1500,15000,1969
1970,1970,989,4/30/2015,28500,1500,28500,1970
1971,1971,990,5/1/2015,2000,1500,2000,1971
1972,1972,991,5/2/2015,3500,1500,3500,1972
1973,1973,992,5/3/2015,5000,1500,5000,1973
1974,1974,993,5/4/2015,15000,1500,15000,1974
1975,1975,994,5/5/2015,28500,1500,28500,1975
1976,1976,995,5/6/2015,2000,1500,2000,1976
1977,1977,996,5/7/2015,3500,1500,3500,1977
1978,1978,997,5/8/2015,5000,1500,5000,1978
1979,1979,998,5/9/2015,15000,1500,15000,1979
1980,1980,999,5/10/2015,28500,1500,28500,1980
1981,1981,1,5/11/2015,2000,1500,2000,1981
1982,1982,2,5/12/2015,3500,1500,3500,1982
1983,1983,3,5/13/2015,5000,1500,5000,1983
1984,1984,4,5/14/2015,15000,1500,15000,1984
1985,1985,5,5/15/2015,28500,1500,28500,1985
1986,1986,6,5/16/2015,2000,1500,2000,1986
1987,1987,7,5/17/2015,3500,1500,3500,1987
1988,1988,8,5/18/2015,5000,1500,5000,1988
1989,1989,9,5/19/2015,15000,1500,15000,1989
1990,1990,10,5/20/2015,28500,1500,28500,1990
1991,1991,11,5/21/2015,2000,1500,2000,1991
1992,1992,12,5/22/2015,3500,1500,3500,1992
1993,1993,13,5/23/2015,5000,1500,5000,1993
1994,1994,14,5/24/2015,15000,1500,15000,1994
1995,1995,15,5/25/2015,28500,1500,28500,1995
1996,1996,16,5/26/2015,2000,1500,2000,1996
1997,1997,17,5/27/2015,3500,1500,3500,1997
1998,1998,18,5/28/2015,5000,1500,5000,1998
1999,1999,19,5/29/2015,15000,1500,15000,1999
2000,2000,20,5/30/2015,28500,1500,28500,2000
2001,2001,21,5/31/2015,2000,1500,2000,2001
2002,2002,22,6/1/2015,3500,1500,3500,2002
2003,2003,23,6/2/2015,5000,1500,5000,2003
2004,2004,24,6/3/2015,15000,1500,15000,2004
2005,2005,25,6/4/2015,28500,1500,28500,2005
2006,2006,26,6/5/2015,2000,1500,2000,2006
2007,2007,27,6/6/2015,3500,1500,3500,2007
2008,2008,28,6/7/2015,5000,1500,5000,2008
2009,2009,29,6/8/2015,15000,1500,15000,2009
2010,2010,30,6/9/2015,28500,1500,28500,2010
2011,2011,31,6/10/2015,2000,1500,2000,2011
2012,2012,32,6/11/2015,3500,1500,3500,2012
2013,2013,33,6/12/2015,5000,1500,5000,2013
2014,2014,34,6/13/2015,15000,1500,15000,2014
2015,2015,35,6/14/2015,28500,1500,28500,2015
2016,2016,36,6/15/2015,2000,1500,2000,2016
2017,2017,37,6/16/2015,3500,1500,3500,2017
2018,2018,38,6/17/2015,5000,1500,5000,2018
2019,2019,39,6/18/2015,15000,1500,15000,2019
2020,2020,40,6/19/2015,28500,1500,28500,2020
2021,2021,41,6/20/2015,2000,1500,2000,2021
2022,2022,42,6/21/2015,3500,1500,3500,2022
2023,2023,43,6/22/2015,5000,1500,5000,2023
2024,2024,44,6/23/2015,15000,1500,15000,2024
2025,2025,45,6/24/2015,28500,1500,28500,2025
2026,2026,46,6/25/2015,2000,1500,2000,2026
2027,2027,47,6/26/2015,3500,1500,3500,2027
2028,2028,48,6/27/2015,5000,1500,5000,2028
2029,2029,49,6/28/2015,15000,1500,15000,2029
2030,2030,50,6/29/2015,28500,1500,28500,2030
2031,2031,51,6/30/2015,2000,1500,2000,2031
2032,2032,52,7/1/2015,3500,1500,3500,2032
2033,2033,53,7/2/2015,5000,1500,5000,2033
2034,2034,54,7/3/2015,15000,1500,15000,2034
2035,2035,55,7/4/2015,28500,1500,28500,2035
2036,2036,56,7/5/2015,2000,1500,2000,2036
2037,2037,57,7/6/2015,3500,1500,3500,2037
2038,2038,58,7/7/2015,5000,1500,5000,2038
2039,2039,59,7/8/2015,15000,1500,15000,2039
2040,2040,60,7/9/2015,28500,1500,28500,2040
2041,2041,61,7/10/2015,2000,1500,2000,2041
2042,2042,62,7/11/2015,3500,1500,3500,2042
2043,2043,63,7/12/2015,5000,1500,5000,2043
2044,2044,64,7/13/2015,15000,1500,15000,2044
2045,2045,65,7/14/2015,28500,1500,28500,2045
2046,2046,66,7/15/2015,2000,1500,2000,2046
2047,2047,67,7/16/2015,3500,1500,3500,2047
2048,2048,68,7/17/2015,5000,1500,5000,2048
2049,2049,69,7/18/2015,15000,1500,15000,2049
2050,2050,70,7/19/2015,28500,1500,28500,2050
2051,2051,71,7/20/2015,2000,1500,2000,2051
2052,2052,72,7/21/2015,3500,1500,3500,2052
2053,2053,73,7/22/2015,5000,1500,5000,2053
2054,2054,74,7/23/2015,15000,1500,15000,2054
2055,2055,75,7/24/2015,28500,1500,28500,2055
2056,2056,76,7/25/2015,2000,1500,2000,2056
2057,2057,77,7/26/2015,3500,1500,3500,2057
2058,2058,78,7/27/2015,5000,1500,5000,2058
2059,2059,79,7/28/2015,15000,1500,15000,2059
2060,2060,80,7/29/2015,28500,1500,28500,2060
2061,2061,81,7/30/2015,2000,1500,2000,2061
2062,2062,82,7/31/2015,3500,1500,3500,2062
2063,2063,83,8/1/2015,5000,1500,5000,2063
2064,2064,84,8/2/2015,15000,1500,15000,2064
2065,2065,85,8/3/2015,28500,1500,28500,2065
2066,2066,86,8/4/2015,2000,1500,2000,2066
2067,2067,87,8/5/2015,3500,1500,3500,2067
2068,2068,88,8/6/2015,5000,1500,5000,2068
2069,2069,89,8/7/2015,15000,1500,15000,2069
2070,2070,90,8/8/2015,28500,1500,28500,2070
2071,2071,91,8/9/2015,2000,1500,2000,2071
2072,2072,92,8/10/2015,3500,1500,3500,2072
2073,2073,93,8/11/2015,5000,1500,5000,2073
2074,2074,94,8/12/2015,15000,1500,15000,2074
2075,2075,95,8/13/2015,28500,1500,28500,2075
2076,2076,96,8/14/2015,2000,1500,2000,2076
2077,2077,97,8/15/2015,3500,1500,3500,2077
2078,2078,98,8/16/2015,5000,1500,5000,2078
2079,2079,99,8/17/2015,15000,1500,15000,2079
2080,2080,100,8/18/2015,28500,1500,28500,2080
2081,2081,101,8/19/2015,2000,1500,2000,2081
2082,2082,102,8/20/2015,3500,1500,3500,2082
2083,2083,103,8/21/2015,5000,1500,5000,2083
