"IDPRODUCTO","NOMBREPRODUCTO","PRECIOPRODUCTO","DESCRIPCIONPRODUCTO","ESTADO","CANTIDADDISPONIBLE","IMAGENPRODUCTO","IDCATEGORIA"
6,"ALITAS",15000,"ALITAS","DISPONIBLE",6,"ALITAS",865
2,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",866
7,"PIZZA",2000,"PIZZA","DISPONIBLE",7,"PIZZA",867
4,"REFRESCO",3500,"REFRESCO","AGOTADO",4,"REFRESCO",868
1,"POSTRE",5000,"POSTRE","DISPONIBLE",1,"POSTRE",869
6,"ALITAS",15000,"ALITAS","AGOTADO",6,"ALITAS",870
2,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",871
7,"PIZZA",2000,"PIZZA","AGOTADO",7,"PIZZA",872
4,"REFRESCO",3500,"REFRESCO","DISPONIBLE",4,"REFRESCO",873
1,"POSTRE",5000,"POSTRE","AGOTADO",1,"POSTRE",874
6,"ALITAS",15000,"ALITAS","DISPONIBLE",6,"ALITAS",875
2,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",876
7,"PIZZA",2000,"PIZZA","DISPONIBLE",7,"PIZZA",877
4,"REFRESCO",3500,"REFRESCO","AGOTADO",4,"REFRESCO",878
1,"POSTRE",5000,"POSTRE","DISPONIBLE",1,"POSTRE",879
6,"ALITAS",15000,"ALITAS","AGOTADO",6,"ALITAS",880
2,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",881
7,"PIZZA",2000,"PIZZA","AGOTADO",7,"PIZZA",882
4,"REFRESCO",3500,"REFRESCO","DISPONIBLE",4,"REFRESCO",883
1,"POSTRE",5000,"POSTRE","AGOTADO",1,"POSTRE",884
6,"ALITAS",15000,"ALITAS","DISPONIBLE",6,"ALITAS",885
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",886
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",887
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",888
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",889
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",890
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",891
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",892
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",893
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",894
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",895
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",896
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",897
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",898
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",899
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",900
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",901
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",902
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",903
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",904
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",905
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",906
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",907
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",908
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",909
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",910
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",911
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",912
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",913
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",914
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",915
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",916
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",917
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",918
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",919
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",920
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",921
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",922
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",923
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",924
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",925
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",926
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",927
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",928
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",929
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",930
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",931
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",932
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",933
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",934
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",935
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",936
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",937
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",938
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",939
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",940
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",941
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",942
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",943
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",944
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",945
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",946
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",947
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",948
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",949
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",950
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",951
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",952
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",953
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",954
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",955
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",956
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",957
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",958
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",959
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",960
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",961
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",962
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",963
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",964
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",965
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",966
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",967
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",968
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",969
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",970
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",971
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",972
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",973
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",974
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",975
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",976
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",977
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",978
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",979
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",980
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",981
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",982
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",983
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",984
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",985
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",986
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",987
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",988
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",989
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",990
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",991
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",992
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",993
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",994
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",995
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",996
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",997
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",998
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",999
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",1000
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1001
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",1002
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",1003
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",1004
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",1005
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1006
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",1007
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",1008
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",1009
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",1010
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1011
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",1012
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",1013
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",1014
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",1015
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1016
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",1017
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",1018
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",1019
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",1020
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1021
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",1022
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",1023
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",1024
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",1025
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1026
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",1027
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",1028
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",1029
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",1030
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1031
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",1032
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",1033
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",1034
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",1035
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1036
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",1037
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",1038
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",1039
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",1040
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1041
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",1042
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",1043
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",1044
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",1045
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1046
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",1047
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",1048
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",1049
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",1050
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1051
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",1052
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",1053
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1054
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1055
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1056
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1057
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1058
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1059
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1060
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1061
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1062
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1063
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1064
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1065
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1066
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1067
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1068
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1069
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1070
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1071
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1072
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1073
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1074
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1075
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1076
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1077
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1078
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1079
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1080
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1081
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1082
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1083
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1084
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1085
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1086
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1087
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1088
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1089
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1090
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1091
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1092
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1093
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1094
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1095
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1096
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1097
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1098
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1099
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1100
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1101
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1102
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1103
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1104
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1105
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1106
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1107
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1108
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1109
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1110
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1111
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1112
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1113
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1114
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1115
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1116
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1117
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1118
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1119
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1120
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1121
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1122
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1123
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1124
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1125
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1126
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1127
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1128
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1129
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1130
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1131
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1132
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1133
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1134
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1135
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1136
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1137
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1138
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1139
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1140
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1141
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1142
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1143
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1144
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1145
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1146
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1147
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1148
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1149
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1150
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1151
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1152
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1153
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1154
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1155
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1156
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1157
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1158
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1159
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1160
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1161
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1162
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1163
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1164
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1165
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1166
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1167
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1168
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1169
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1170
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1171
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1172
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1173
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1174
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1175
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1176
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1177
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1178
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1179
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1180
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1181
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1182
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1183
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1184
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1185
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1186
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1187
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1188
1,"POSTRE",2000,"POSTRE","DISPONIBLE",1,"POSTRE",1189
6,"ALITAS",3500,"ALITAS","AGOTADO",6,"ALITAS",1190
2,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1191
7,"PIZZA",15000,"PIZZA","AGOTADO",7,"PIZZA",1192
4,"REFRESCO",28500,"REFRESCO","DISPONIBLE",4,"REFRESCO",1193
1,"POSTRE",2000,"POSTRE","AGOTADO",1,"POSTRE",1194
6,"ALITAS",3500,"ALITAS","DISPONIBLE",6,"ALITAS",1195
2,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",1196
7,"PIZZA",15000,"PIZZA","DISPONIBLE",7,"PIZZA",1197
4,"REFRESCO",28500,"REFRESCO","AGOTADO",4,"REFRESCO",1198
