"IDINVENTARIO","IDPROVEEDOR","IDINGREDIENTE","CANTIDAD","ESTADO"
765,5,765,6,"DISPONIBLE"
766,6,766,2,"DISPONIBLE"
767,7,767,7,"AGOTADO"
768,8,768,4,"DISPONIBLE"
769,9,769,1,"AGOTADO"
770,10,770,6,"DISPONIBLE"
771,11,771,2,"DISPONIBLE"
772,12,772,7,"AGOTADO"
773,13,773,4,"DISPONIBLE"
774,14,774,1,"AGOTADO"
775,15,775,6,"DISPONIBLE"
776,16,776,2,"DISPONIBLE"
777,17,777,7,"AGOTADO"
778,18,778,4,"DISPONIBLE"
779,19,779,1,"AGOTADO"
780,20,780,6,"DISPONIBLE"
781,21,781,2,"DISPONIBLE"
782,22,782,7,"AGOTADO"
783,23,783,4,"DISPONIBLE"
784,24,784,1,"AGOTADO"
785,25,785,6,"DISPONIBLE"
786,26,786,2,"DISPONIBLE"
787,27,787,7,"AGOTADO"
788,28,788,4,"DISPONIBLE"
789,29,789,1,"AGOTADO"
790,30,790,6,"DISPONIBLE"
791,31,791,2,"DISPONIBLE"
792,32,792,7,"AGOTADO"
793,33,793,4,"DISPONIBLE"
794,34,794,1,"AGOTADO"
795,35,795,6,"DISPONIBLE"
796,36,796,2,"DISPONIBLE"
797,37,797,7,"AGOTADO"
798,38,798,4,"DISPONIBLE"
799,1,799,1,"AGOTADO"
800,2,800,6,"DISPONIBLE"
801,3,801,2,"DISPONIBLE"
802,4,802,7,"AGOTADO"
803,5,803,4,"DISPONIBLE"
804,6,804,1,"AGOTADO"
805,7,805,6,"DISPONIBLE"
806,8,806,2,"DISPONIBLE"
807,9,807,7,"AGOTADO"
808,10,808,4,"DISPONIBLE"
809,11,809,1,"AGOTADO"
810,12,810,6,"DISPONIBLE"
811,13,811,2,"DISPONIBLE"
812,14,812,7,"AGOTADO"
813,15,813,4,"DISPONIBLE"
814,16,814,1,"AGOTADO"
815,17,815,6,"DISPONIBLE"
816,18,816,2,"DISPONIBLE"
817,19,817,7,"AGOTADO"
818,20,818,4,"DISPONIBLE"
819,21,819,1,"AGOTADO"
820,22,820,6,"DISPONIBLE"
821,23,821,2,"DISPONIBLE"
822,24,822,7,"AGOTADO"
823,25,823,4,"DISPONIBLE"
824,26,824,1,"AGOTADO"
825,27,825,6,"DISPONIBLE"
826,28,826,2,"DISPONIBLE"
827,29,827,7,"AGOTADO"
828,30,828,4,"DISPONIBLE"
829,31,829,1,"AGOTADO"
830,32,830,6,"DISPONIBLE"
831,33,831,2,"DISPONIBLE"
832,34,832,7,"AGOTADO"
833,35,833,4,"DISPONIBLE"
834,36,834,1,"AGOTADO"
835,37,835,6,"DISPONIBLE"
836,38,836,2,"DISPONIBLE"
837,1,837,7,"AGOTADO"
838,2,838,4,"DISPONIBLE"
839,3,839,1,"AGOTADO"
840,4,840,6,"DISPONIBLE"
841,5,841,2,"DISPONIBLE"
842,6,842,7,"AGOTADO"
843,7,843,4,"DISPONIBLE"
844,8,844,1,"AGOTADO"
845,9,845,6,"DISPONIBLE"
846,10,846,2,"DISPONIBLE"
847,11,847,7,"AGOTADO"
848,12,848,4,"DISPONIBLE"
849,13,849,1,"AGOTADO"
850,14,850,6,"DISPONIBLE"
851,15,851,2,"DISPONIBLE"
852,16,852,7,"AGOTADO"
853,17,853,4,"DISPONIBLE"
854,18,854,1,"AGOTADO"
855,19,855,6,"DISPONIBLE"
856,20,856,2,"DISPONIBLE"
857,21,857,7,"AGOTADO"
858,22,858,4,"DISPONIBLE"
859,23,859,1,"AGOTADO"
860,24,860,6,"DISPONIBLE"
861,25,861,2,"DISPONIBLE"
862,26,862,7,"AGOTADO"
863,27,863,4,"DISPONIBLE"
864,28,864,1,"AGOTADO"
865,29,865,6,"DISPONIBLE"
866,30,866,2,"DISPONIBLE"
867,31,867,7,"AGOTADO"
868,32,868,4,"DISPONIBLE"
869,33,869,1,"AGOTADO"
870,34,870,6,"DISPONIBLE"
871,35,871,2,"DISPONIBLE"
872,36,872,7,"AGOTADO"
873,37,873,4,"DISPONIBLE"
874,38,874,1,"AGOTADO"
875,1,875,6,"DISPONIBLE"
876,2,876,2,"DISPONIBLE"
877,3,877,7,"AGOTADO"
878,4,878,4,"DISPONIBLE"
879,5,879,1,"AGOTADO"
880,6,880,6,"DISPONIBLE"
881,7,881,2,"DISPONIBLE"
882,8,882,7,"AGOTADO"
883,9,883,4,"DISPONIBLE"
884,10,884,1,"AGOTADO"
885,11,885,6,"DISPONIBLE"
886,12,886,2,"DISPONIBLE"
887,13,887,7,"AGOTADO"
888,14,888,4,"DISPONIBLE"
889,15,889,1,"AGOTADO"
890,16,890,6,"DISPONIBLE"
891,17,891,2,"DISPONIBLE"
892,18,892,7,"AGOTADO"
893,19,893,4,"DISPONIBLE"
894,20,894,1,"AGOTADO"
895,21,895,6,"DISPONIBLE"
896,22,896,2,"DISPONIBLE"
897,23,897,7,"AGOTADO"
898,24,898,4,"DISPONIBLE"
899,25,899,1,"AGOTADO"
900,26,900,6,"DISPONIBLE"
901,27,901,2,"DISPONIBLE"
902,28,902,7,"AGOTADO"
903,29,903,4,"DISPONIBLE"
904,30,904,1,"AGOTADO"
905,31,905,6,"DISPONIBLE"
906,32,906,2,"DISPONIBLE"
907,33,907,7,"AGOTADO"
908,34,908,4,"DISPONIBLE"
909,35,909,1,"AGOTADO"
910,36,910,6,"DISPONIBLE"
911,37,911,2,"DISPONIBLE"
912,38,912,7,"AGOTADO"
913,1,913,4,"DISPONIBLE"
914,2,914,1,"AGOTADO"
915,3,915,6,"DISPONIBLE"
916,4,916,2,"DISPONIBLE"
917,5,917,7,"AGOTADO"
918,6,918,4,"DISPONIBLE"
919,7,919,1,"AGOTADO"
920,8,920,6,"DISPONIBLE"
921,9,921,2,"DISPONIBLE"
922,10,922,7,"AGOTADO"
923,11,923,4,"DISPONIBLE"
924,12,924,1,"AGOTADO"
925,13,925,6,"DISPONIBLE"
926,14,926,2,"DISPONIBLE"
927,15,927,7,"AGOTADO"
928,16,928,4,"DISPONIBLE"
929,17,929,1,"AGOTADO"
930,18,930,6,"DISPONIBLE"
931,19,931,2,"DISPONIBLE"
932,20,932,7,"AGOTADO"
933,21,933,4,"DISPONIBLE"
934,22,934,1,"AGOTADO"
935,23,935,6,"DISPONIBLE"
936,24,936,2,"DISPONIBLE"
937,25,937,7,"AGOTADO"
938,26,938,4,"DISPONIBLE"
939,27,939,1,"AGOTADO"
940,28,940,6,"DISPONIBLE"
941,29,941,2,"DISPONIBLE"
942,30,942,7,"AGOTADO"
943,31,943,4,"DISPONIBLE"
944,32,944,1,"AGOTADO"
945,33,945,6,"DISPONIBLE"
946,34,946,2,"DISPONIBLE"
947,35,947,7,"AGOTADO"
948,36,948,4,"DISPONIBLE"
949,37,949,1,"AGOTADO"
950,38,950,6,"DISPONIBLE"
951,1,951,2,"DISPONIBLE"
952,2,952,7,"AGOTADO"
953,3,953,4,"DISPONIBLE"
954,4,954,1,"AGOTADO"
955,5,955,6,"DISPONIBLE"
956,6,956,2,"DISPONIBLE"
957,7,957,7,"AGOTADO"
958,8,958,4,"DISPONIBLE"
959,9,959,1,"AGOTADO"
960,10,960,6,"DISPONIBLE"
961,11,961,2,"DISPONIBLE"
962,12,962,7,"AGOTADO"
963,13,963,4,"DISPONIBLE"
964,14,964,1,"AGOTADO"
965,15,965,6,"DISPONIBLE"
966,16,966,2,"DISPONIBLE"
967,17,967,7,"AGOTADO"
968,18,968,4,"DISPONIBLE"
969,19,969,1,"AGOTADO"
970,20,970,6,"DISPONIBLE"
971,21,971,2,"DISPONIBLE"
972,22,972,7,"AGOTADO"
973,23,973,4,"DISPONIBLE"
974,24,974,1,"AGOTADO"
975,25,975,6,"DISPONIBLE"
976,26,976,2,"DISPONIBLE"
977,27,977,7,"AGOTADO"
978,28,978,4,"DISPONIBLE"
979,29,979,1,"AGOTADO"
980,30,980,6,"DISPONIBLE"
981,31,981,2,"DISPONIBLE"
982,32,982,7,"AGOTADO"
983,33,983,4,"DISPONIBLE"
984,34,984,1,"AGOTADO"
985,35,985,6,"DISPONIBLE"
986,36,986,2,"DISPONIBLE"
987,37,987,7,"AGOTADO"
988,38,988,4,"DISPONIBLE"
989,1,989,1,"AGOTADO"
990,2,990,6,"DISPONIBLE"
991,3,991,2,"DISPONIBLE"
992,4,992,7,"AGOTADO"
993,5,993,4,"DISPONIBLE"
994,6,994,1,"AGOTADO"
995,7,995,6,"DISPONIBLE"
996,8,996,2,"DISPONIBLE"
997,9,997,7,"AGOTADO"
998,10,998,4,"DISPONIBLE"
999,11,999,1,"AGOTADO"
1000,12,1000,6,"DISPONIBLE"
1001,13,1001,2,"DISPONIBLE"
1002,14,1002,7,"AGOTADO"
1003,15,1003,4,"DISPONIBLE"
1004,16,1004,1,"AGOTADO"
1005,17,1005,6,"DISPONIBLE"
1006,18,1006,2,"DISPONIBLE"
1007,19,1007,7,"AGOTADO"
1008,20,1008,4,"DISPONIBLE"
1009,21,1009,1,"AGOTADO"
1010,22,1010,6,"DISPONIBLE"
1011,23,1011,2,"DISPONIBLE"
1012,24,1012,7,"AGOTADO"
1013,25,1013,4,"DISPONIBLE"
1014,26,1014,1,"AGOTADO"
1015,27,1015,6,"DISPONIBLE"
1016,28,1016,2,"DISPONIBLE"
1017,29,1017,7,"AGOTADO"
1018,30,1018,4,"DISPONIBLE"
1019,31,1019,1,"AGOTADO"
1020,32,1020,6,"DISPONIBLE"
1021,33,1021,2,"DISPONIBLE"
1022,34,1022,7,"AGOTADO"
1023,35,1023,4,"DISPONIBLE"
1024,36,1024,1,"AGOTADO"
1025,37,1025,6,"DISPONIBLE"
1026,38,1026,2,"DISPONIBLE"
1027,1,1027,7,"AGOTADO"
1028,2,1028,4,"DISPONIBLE"
1029,3,1029,1,"AGOTADO"
1030,4,1030,6,"DISPONIBLE"
1031,5,1031,2,"DISPONIBLE"
1032,6,1032,7,"AGOTADO"
1033,7,1033,4,"DISPONIBLE"
1034,8,1034,1,"AGOTADO"
1035,9,1035,6,"DISPONIBLE"
1036,10,1036,2,"DISPONIBLE"
1037,11,1037,7,"AGOTADO"
1038,12,1038,4,"DISPONIBLE"
1039,13,1039,1,"AGOTADO"
1040,14,1040,6,"DISPONIBLE"
1041,15,1041,2,"DISPONIBLE"
1042,16,1042,7,"AGOTADO"
1043,17,1043,4,"DISPONIBLE"
1044,18,1044,1,"AGOTADO"
1045,19,1045,6,"DISPONIBLE"
1046,20,1046,2,"DISPONIBLE"
1047,21,1047,7,"AGOTADO"
1048,22,1048,4,"DISPONIBLE"
1049,23,1049,1,"AGOTADO"
1050,24,1050,6,"DISPONIBLE"
1051,25,1051,2,"DISPONIBLE"
1052,26,1052,7,"AGOTADO"
1053,27,1053,4,"DISPONIBLE"
1054,28,1054,1,"AGOTADO"
1055,29,1055,6,"DISPONIBLE"
1056,30,1056,2,"DISPONIBLE"
1057,31,1057,7,"AGOTADO"
1058,32,1058,4,"DISPONIBLE"
1059,33,1059,1,"AGOTADO"
1060,34,1060,6,"DISPONIBLE"
1061,35,1061,2,"DISPONIBLE"
1062,36,1062,7,"AGOTADO"
1063,37,1063,4,"DISPONIBLE"
1064,38,1064,1,"AGOTADO"
1065,1,1065,6,"DISPONIBLE"
1066,2,1066,2,"DISPONIBLE"
1067,3,1067,7,"AGOTADO"
1068,4,1068,4,"DISPONIBLE"
1069,5,1069,1,"AGOTADO"
1070,6,1070,6,"DISPONIBLE"
1071,7,1071,2,"DISPONIBLE"
1072,8,1072,7,"AGOTADO"
1073,9,1073,4,"DISPONIBLE"
1074,10,1074,1,"AGOTADO"
1075,11,1075,6,"DISPONIBLE"
1076,12,1076,2,"DISPONIBLE"
1077,13,1077,7,"AGOTADO"
1078,14,1078,4,"DISPONIBLE"
1079,15,1079,1,"AGOTADO"
1080,16,1080,6,"DISPONIBLE"
1081,17,1081,2,"DISPONIBLE"
1082,18,1082,7,"AGOTADO"
1083,19,1083,4,"DISPONIBLE"
1084,20,1084,1,"AGOTADO"
1085,21,1085,6,"DISPONIBLE"
1086,22,1086,2,"DISPONIBLE"
1087,23,1087,7,"AGOTADO"
1088,24,1088,4,"DISPONIBLE"
1089,25,1089,1,"AGOTADO"
1090,26,1090,6,"DISPONIBLE"
1091,27,1091,2,"DISPONIBLE"
1092,28,1092,7,"AGOTADO"
1093,29,1093,4,"DISPONIBLE"
1094,30,1094,1,"AGOTADO"
1095,31,1095,6,"DISPONIBLE"
1096,32,1096,2,"DISPONIBLE"
1097,33,1097,7,"AGOTADO"
1098,34,1098,4,"DISPONIBLE"
1099,35,1099,1,"AGOTADO"
1100,36,1100,6,"DISPONIBLE"
1101,37,1101,2,"DISPONIBLE"
1102,38,1102,7,"AGOTADO"
1103,1,1103,4,"DISPONIBLE"
1104,2,1104,1,"AGOTADO"
1105,3,1105,6,"DISPONIBLE"
1106,4,1106,2,"DISPONIBLE"
1107,5,1107,7,"AGOTADO"
1108,6,1108,4,"DISPONIBLE"
1109,7,1109,1,"AGOTADO"
1110,8,1110,6,"DISPONIBLE"
1111,9,1111,2,"DISPONIBLE"
1112,10,1112,7,"AGOTADO"
1113,11,1113,4,"DISPONIBLE"
1114,12,1114,1,"AGOTADO"
1115,13,1115,6,"DISPONIBLE"
1116,14,1116,2,"DISPONIBLE"
1117,15,1117,7,"AGOTADO"
1118,16,1118,4,"DISPONIBLE"
1119,17,1119,1,"AGOTADO"
1120,18,1120,6,"DISPONIBLE"
1121,19,1121,2,"DISPONIBLE"
1122,20,1122,7,"AGOTADO"
1123,21,1123,4,"DISPONIBLE"
1124,22,1124,1,"AGOTADO"
1125,23,1125,6,"DISPONIBLE"
1126,24,1126,2,"DISPONIBLE"
1127,25,1127,7,"AGOTADO"
1128,26,1128,4,"DISPONIBLE"
1129,27,1129,1,"AGOTADO"
1130,28,1130,6,"DISPONIBLE"
1131,29,1131,2,"DISPONIBLE"
1132,30,1132,7,"AGOTADO"
1133,31,1133,4,"DISPONIBLE"
1134,32,1134,1,"AGOTADO"
1135,33,1135,6,"DISPONIBLE"
1136,34,1136,2,"DISPONIBLE"
1137,35,1137,7,"AGOTADO"
1138,36,1138,4,"DISPONIBLE"
1139,37,1139,1,"AGOTADO"
1140,38,1140,6,"DISPONIBLE"
1141,1,1141,2,"DISPONIBLE"
1142,2,1142,7,"AGOTADO"
1143,3,1143,4,"DISPONIBLE"
1144,4,1144,1,"AGOTADO"
1145,5,1145,6,"DISPONIBLE"
1146,6,1146,2,"DISPONIBLE"
1147,7,1147,7,"AGOTADO"
1148,8,1148,4,"DISPONIBLE"
1149,9,1149,1,"AGOTADO"
1150,10,1150,6,"DISPONIBLE"
1151,11,1151,2,"DISPONIBLE"
1152,12,1152,7,"AGOTADO"
1153,13,1153,4,"DISPONIBLE"
1154,14,1154,1,"AGOTADO"
1155,15,1155,6,"DISPONIBLE"
1156,16,1156,2,"DISPONIBLE"
1157,17,1157,7,"AGOTADO"
1158,18,1158,4,"DISPONIBLE"
1159,19,1159,1,"AGOTADO"
1160,20,1160,6,"DISPONIBLE"
1161,21,1161,2,"DISPONIBLE"
1162,22,1162,7,"AGOTADO"
1163,23,1163,4,"DISPONIBLE"
1164,24,1164,1,"AGOTADO"
1165,25,1165,6,"DISPONIBLE"
1166,26,1166,2,"DISPONIBLE"
1167,27,1167,7,"AGOTADO"
1168,28,1168,4,"DISPONIBLE"
1169,29,1169,1,"AGOTADO"
1170,30,1170,6,"DISPONIBLE"
1171,31,1171,2,"DISPONIBLE"
1172,32,1172,7,"AGOTADO"
1173,33,1173,4,"DISPONIBLE"
1174,34,1174,1,"AGOTADO"
1175,35,1175,6,"DISPONIBLE"
1176,36,1176,2,"DISPONIBLE"
1177,37,1177,7,"AGOTADO"
1178,38,1178,4,"DISPONIBLE"
1179,1,1179,1,"AGOTADO"
1180,2,1180,6,"DISPONIBLE"
1181,3,1181,2,"DISPONIBLE"
1182,4,1182,7,"AGOTADO"
1183,5,1183,4,"DISPONIBLE"
1184,6,1184,1,"AGOTADO"
1185,7,1185,6,"DISPONIBLE"
1186,8,1186,2,"DISPONIBLE"
1187,9,1187,7,"AGOTADO"
1188,10,1188,4,"DISPONIBLE"
1189,11,1189,1,"AGOTADO"
1190,12,1190,6,"DISPONIBLE"
1191,13,1191,2,"DISPONIBLE"
1192,14,1192,7,"AGOTADO"
1193,15,1193,4,"DISPONIBLE"
1194,16,1194,1,"AGOTADO"
1195,17,1195,6,"DISPONIBLE"
1196,18,1196,2,"DISPONIBLE"
1197,19,1197,7,"AGOTADO"
1198,20,1198,4,"DISPONIBLE"
1199,21,1199,1,"AGOTADO"
1200,22,1200,6,"DISPONIBLE"
1201,23,1201,2,"DISPONIBLE"
1202,24,1202,7,"AGOTADO"
1203,25,1203,4,"DISPONIBLE"
1204,26,1204,1,"AGOTADO"
1205,27,1205,6,"DISPONIBLE"
1206,28,1206,2,"DISPONIBLE"
1207,29,1207,7,"AGOTADO"
1208,30,1208,4,"DISPONIBLE"
1209,31,1209,1,"AGOTADO"
1210,32,1210,6,"DISPONIBLE"
1211,33,1211,2,"DISPONIBLE"
1212,34,1212,7,"AGOTADO"
1213,35,1213,4,"DISPONIBLE"
1214,36,1214,1,"AGOTADO"
1215,37,1215,6,"DISPONIBLE"
1216,38,1216,2,"DISPONIBLE"
1217,1,1217,7,"AGOTADO"
1218,2,1218,4,"DISPONIBLE"
1219,3,1219,1,"AGOTADO"
1220,4,1220,6,"DISPONIBLE"
1221,5,1221,2,"DISPONIBLE"
1222,6,1222,7,"AGOTADO"
1223,7,1223,4,"DISPONIBLE"
1224,8,1224,1,"AGOTADO"
1225,9,1225,6,"DISPONIBLE"
1226,10,1226,2,"DISPONIBLE"
1227,11,1227,7,"AGOTADO"
1228,12,1228,4,"DISPONIBLE"
1229,13,1229,1,"AGOTADO"
1230,14,1230,6,"DISPONIBLE"
1231,15,1231,2,"DISPONIBLE"
1232,16,1232,7,"AGOTADO"
1233,17,1233,4,"DISPONIBLE"
1234,18,1234,1,"AGOTADO"
1235,19,1235,6,"DISPONIBLE"
1236,20,1236,2,"DISPONIBLE"
1237,21,1237,7,"AGOTADO"
1238,22,1238,4,"DISPONIBLE"
1239,23,1239,1,"AGOTADO"
1240,24,1240,6,"DISPONIBLE"
1241,25,1241,2,"DISPONIBLE"
1242,26,1242,7,"AGOTADO"
1243,27,1243,4,"DISPONIBLE"
1244,28,1244,1,"AGOTADO"
1245,29,1245,6,"DISPONIBLE"
1246,30,1246,2,"DISPONIBLE"
1247,31,1247,7,"AGOTADO"
1248,32,1248,4,"DISPONIBLE"
1249,33,1249,1,"AGOTADO"
1250,34,1250,6,"DISPONIBLE"
1251,35,1251,2,"DISPONIBLE"
1252,36,1252,7,"AGOTADO"
1253,37,1253,4,"DISPONIBLE"
1254,38,1254,1,"AGOTADO"
1255,1,1255,6,"DISPONIBLE"
1256,2,1256,2,"DISPONIBLE"
1257,3,1257,7,"AGOTADO"
1258,4,1258,4,"DISPONIBLE"
1259,5,1259,1,"AGOTADO"
1260,6,1260,6,"DISPONIBLE"
1261,7,1261,2,"DISPONIBLE"
1262,8,1262,7,"AGOTADO"
1263,9,1263,4,"DISPONIBLE"
1264,10,1264,1,"AGOTADO"
1265,11,1265,6,"DISPONIBLE"
1266,12,1266,2,"DISPONIBLE"
1267,13,1267,7,"AGOTADO"
1268,14,1268,4,"DISPONIBLE"
1269,15,1269,1,"AGOTADO"
1270,16,1270,6,"DISPONIBLE"
1271,17,1271,2,"DISPONIBLE"
1272,18,1272,7,"AGOTADO"
1273,19,1273,4,"DISPONIBLE"
1274,20,1274,1,"AGOTADO"
1275,21,1275,6,"DISPONIBLE"
1276,22,1276,2,"DISPONIBLE"
1277,23,1277,7,"AGOTADO"
1278,24,1278,4,"DISPONIBLE"
1279,25,1279,1,"AGOTADO"
1280,26,1280,6,"DISPONIBLE"
1281,27,1281,2,"DISPONIBLE"
1282,28,1282,7,"AGOTADO"
1283,29,1283,4,"DISPONIBLE"
1284,30,1284,1,"AGOTADO"
1285,31,1285,6,"DISPONIBLE"
1286,32,1286,2,"DISPONIBLE"
1287,33,1287,7,"AGOTADO"
1288,34,1288,4,"DISPONIBLE"
1289,35,1289,1,"AGOTADO"
1290,36,1290,6,"DISPONIBLE"
1291,37,1291,2,"DISPONIBLE"
1292,38,1292,7,"AGOTADO"
1293,1,1293,4,"DISPONIBLE"
1294,2,1294,1,"AGOTADO"
1295,3,1295,6,"DISPONIBLE"
1296,4,1296,2,"DISPONIBLE"
1297,5,1297,7,"AGOTADO"
1298,6,1298,4,"DISPONIBLE"
1299,7,1299,1,"AGOTADO"
1300,8,1300,6,"DISPONIBLE"
1301,9,1301,2,"DISPONIBLE"
1302,10,1302,7,"AGOTADO"
1303,11,1303,4,"DISPONIBLE"
1304,12,1304,1,"AGOTADO"
1305,13,1305,6,"DISPONIBLE"
1306,14,1306,2,"DISPONIBLE"
1307,15,1307,7,"AGOTADO"
1308,16,1308,4,"DISPONIBLE"
1309,17,1309,1,"AGOTADO"
1310,18,1310,6,"DISPONIBLE"
1311,19,1311,2,"DISPONIBLE"
1312,20,1312,7,"AGOTADO"
1313,21,1313,4,"DISPONIBLE"
1314,22,1314,1,"AGOTADO"
1315,23,1315,6,"DISPONIBLE"
1316,24,1316,2,"DISPONIBLE"
1317,25,1317,7,"AGOTADO"
1318,26,1318,4,"DISPONIBLE"
1319,27,1319,1,"AGOTADO"
1320,28,1320,6,"DISPONIBLE"
1321,29,1321,2,"DISPONIBLE"
1322,30,1322,7,"AGOTADO"
1323,31,1323,4,"DISPONIBLE"
1324,32,1324,1,"AGOTADO"
1325,33,1325,6,"DISPONIBLE"
1326,34,1326,2,"DISPONIBLE"
1327,35,1327,7,"AGOTADO"
1328,36,1328,4,"DISPONIBLE"
1329,37,1329,1,"AGOTADO"
1330,38,1330,6,"DISPONIBLE"
1331,1,1331,2,"DISPONIBLE"
1332,2,1332,7,"AGOTADO"
1333,3,1333,4,"DISPONIBLE"
1334,4,1334,1,"AGOTADO"
1335,5,1335,6,"DISPONIBLE"
1336,6,1336,2,"DISPONIBLE"
1337,7,1337,7,"AGOTADO"
1338,8,1338,4,"DISPONIBLE"
1339,9,1339,1,"AGOTADO"
1340,10,1340,6,"DISPONIBLE"
1341,11,1341,2,"DISPONIBLE"
1342,12,1342,7,"AGOTADO"
1343,13,1343,4,"DISPONIBLE"
1344,14,1344,1,"AGOTADO"
1345,15,1345,6,"DISPONIBLE"
1346,16,1346,2,"DISPONIBLE"
1347,17,1347,7,"AGOTADO"
1348,18,1348,4,"DISPONIBLE"
1349,19,1349,1,"AGOTADO"
1350,20,1350,6,"DISPONIBLE"
1351,21,1351,2,"DISPONIBLE"
1352,22,1352,7,"AGOTADO"
1353,23,1353,4,"DISPONIBLE"
1354,24,1354,1,"AGOTADO"
1355,25,1355,6,"DISPONIBLE"
1356,26,1356,2,"DISPONIBLE"
1357,27,1357,7,"AGOTADO"
1358,28,1358,4,"DISPONIBLE"
1359,29,1359,1,"AGOTADO"
1360,30,1360,6,"DISPONIBLE"
1361,31,1361,2,"DISPONIBLE"
1362,32,1362,7,"AGOTADO"
1363,33,1363,4,"DISPONIBLE"
1364,34,1364,1,"AGOTADO"
1365,35,1365,6,"DISPONIBLE"
1366,36,1366,2,"DISPONIBLE"
1367,37,1367,7,"AGOTADO"
1368,38,1368,4,"DISPONIBLE"
1369,1,1369,1,"AGOTADO"
1370,2,1370,6,"DISPONIBLE"
1371,3,1371,2,"DISPONIBLE"
1372,4,1372,7,"AGOTADO"
1373,5,1373,4,"DISPONIBLE"
1374,6,1374,1,"AGOTADO"
1375,7,1375,6,"DISPONIBLE"
1376,8,1376,2,"DISPONIBLE"
1377,9,1377,7,"AGOTADO"
1378,10,1378,4,"DISPONIBLE"
1379,11,1379,1,"AGOTADO"
1380,12,1380,6,"DISPONIBLE"
1381,13,1381,2,"DISPONIBLE"
1382,14,1382,7,"AGOTADO"
1383,15,1383,4,"DISPONIBLE"
1384,16,1384,1,"AGOTADO"
1385,17,1385,6,"DISPONIBLE"
1386,18,1386,2,"DISPONIBLE"
1387,19,1387,7,"AGOTADO"
1388,20,1388,4,"DISPONIBLE"
1389,21,1389,1,"AGOTADO"
1390,22,1390,6,"DISPONIBLE"
1391,23,1391,2,"DISPONIBLE"
1392,24,1392,7,"AGOTADO"
1393,25,1393,4,"DISPONIBLE"
1394,26,1394,1,"AGOTADO"
1395,27,1395,6,"DISPONIBLE"
1396,28,1396,2,"DISPONIBLE"
1397,29,1397,7,"AGOTADO"
1398,30,1398,4,"DISPONIBLE"
1399,31,1399,1,"AGOTADO"
1400,32,1400,6,"DISPONIBLE"
1401,33,1401,2,"DISPONIBLE"
1402,34,1402,7,"AGOTADO"
1403,35,1403,4,"DISPONIBLE"
1404,36,1404,1,"AGOTADO"
1405,37,1405,6,"DISPONIBLE"
1406,38,1406,2,"DISPONIBLE"
1407,1,1407,7,"AGOTADO"
1408,2,1408,4,"DISPONIBLE"
1409,3,1409,1,"AGOTADO"
1410,4,1410,6,"DISPONIBLE"
1411,5,1411,2,"DISPONIBLE"
1412,6,1412,7,"AGOTADO"
1413,7,1413,4,"DISPONIBLE"
1414,8,1414,1,"AGOTADO"
1415,9,1415,6,"DISPONIBLE"
1416,10,1416,2,"DISPONIBLE"
1417,11,1417,7,"AGOTADO"
1418,12,1418,4,"DISPONIBLE"
1419,13,1419,1,"AGOTADO"
1420,14,1420,6,"DISPONIBLE"
1421,15,1421,2,"DISPONIBLE"
1422,16,1422,7,"AGOTADO"
1423,17,1423,4,"DISPONIBLE"
1424,18,1424,1,"AGOTADO"
1425,19,1425,6,"DISPONIBLE"
1426,20,1426,2,"DISPONIBLE"
1427,21,1427,7,"AGOTADO"
1428,22,1428,4,"DISPONIBLE"
1429,23,1429,1,"AGOTADO"
1430,24,1430,6,"DISPONIBLE"
1431,25,1431,2,"DISPONIBLE"
1432,26,1432,7,"AGOTADO"
1433,27,1433,4,"DISPONIBLE"
1434,28,1434,1,"AGOTADO"
1435,29,1435,6,"DISPONIBLE"
1436,30,1436,2,"DISPONIBLE"
1437,31,1437,7,"AGOTADO"
1438,32,1438,4,"DISPONIBLE"
1439,33,1439,1,"AGOTADO"
1440,34,1440,6,"DISPONIBLE"
1441,35,1441,2,"DISPONIBLE"
1442,36,1442,7,"AGOTADO"
1443,37,1443,4,"DISPONIBLE"
1444,38,1444,1,"AGOTADO"
1445,1,1445,6,"DISPONIBLE"
1446,2,1446,2,"DISPONIBLE"
1447,3,1447,7,"AGOTADO"
1448,4,1448,4,"DISPONIBLE"
1449,5,1449,1,"AGOTADO"
1450,6,1450,6,"DISPONIBLE"
1451,7,1451,2,"DISPONIBLE"
1452,8,1452,7,"AGOTADO"
1453,9,1453,4,"DISPONIBLE"
1454,10,1454,1,"AGOTADO"
1455,11,1455,6,"DISPONIBLE"
1456,12,1456,2,"DISPONIBLE"
1457,13,1457,7,"AGOTADO"
1458,14,1458,4,"DISPONIBLE"
1459,15,1459,1,"AGOTADO"
1460,16,1460,6,"DISPONIBLE"
1461,17,1461,2,"DISPONIBLE"
1462,18,1462,7,"AGOTADO"
1463,19,1463,4,"DISPONIBLE"
1464,20,1464,1,"AGOTADO"
1465,21,1465,6,"DISPONIBLE"
1466,22,1466,2,"DISPONIBLE"
1467,23,1467,7,"AGOTADO"
1468,24,1468,4,"DISPONIBLE"
1469,25,1469,1,"AGOTADO"
1470,26,1470,6,"DISPONIBLE"
1471,27,1471,2,"DISPONIBLE"
1472,28,1472,7,"AGOTADO"
1473,29,1473,4,"DISPONIBLE"
1474,30,1474,1,"AGOTADO"
1475,31,1475,6,"DISPONIBLE"
1476,32,1476,2,"DISPONIBLE"
1477,33,1477,7,"AGOTADO"
