"IDCARRITO","IDPRODUCTO","ESTADOCOMPRA","CANTIDAD"
1148,4,"cancelado",4
1149,1,"pendiente",1
1150,6,"cancelado",6
1151,2,"cancelado",2
1152,7,"pendiente",7
1153,4,"cancelado",4
1154,1,"pendiente",1
1155,6,"cancelado",6
1156,2,"cancelado",2
1157,7,"pendiente",7
1158,4,"cancelado",4
1159,1,"pendiente",1
1160,6,"cancelado",6
1161,2,"cancelado",2
1162,7,"pendiente",7
1163,4,"cancelado",4
1164,1,"pendiente",1
1165,6,"cancelado",6
1166,2,"cancelado",2
1167,7,"pendiente",7
1168,4,"cancelado",4
1169,1,"pendiente",1
1170,6,"cancelado",6
1171,2,"cancelado",2
1172,7,"pendiente",7
1173,4,"cancelado",4
1174,1,"pendiente",1
1175,6,"cancelado",6
1176,2,"cancelado",2
1177,7,"pendiente",7
1178,4,"cancelado",4
1179,1,"pendiente",1
1180,6,"cancelado",6
1181,2,"cancelado",2
1182,7,"pendiente",7
1183,4,"cancelado",4
1184,1,"pendiente",1
1185,6,"cancelado",6
1186,2,"cancelado",2
1187,7,"pendiente",7
1188,4,"cancelado",4
1189,1,"pendiente",1
1190,6,"cancelado",6
1191,2,"cancelado",2
1192,7,"pendiente",7
1193,4,"cancelado",4
1194,1,"pendiente",1
1195,6,"cancelado",6
1196,2,"cancelado",2
1197,7,"pendiente",7
1198,4,"cancelado",4
1199,1,"pendiente",1
1200,6,"cancelado",6
1201,2,"cancelado",2
1202,7,"pendiente",7
1203,4,"cancelado",4
1204,1,"pendiente",1
1205,6,"cancelado",6
1206,2,"cancelado",2
1207,7,"pendiente",7
1208,4,"cancelado",4
1209,1,"pendiente",1
1210,6,"cancelado",6
1211,2,"cancelado",2
1212,7,"pendiente",7
1213,4,"cancelado",4
1214,1,"pendiente",1
1215,6,"cancelado",6
1216,2,"cancelado",2
1217,7,"pendiente",7
1218,4,"cancelado",4
1219,1,"pendiente",1
1220,6,"cancelado",6
1221,2,"cancelado",2
1222,7,"pendiente",7
1223,4,"cancelado",4
1224,1,"pendiente",1
1225,6,"cancelado",6
1226,2,"cancelado",2
1227,7,"pendiente",7
1228,4,"cancelado",4
1229,1,"pendiente",1
1230,6,"cancelado",6
1231,2,"cancelado",2
1232,7,"pendiente",7
1233,4,"cancelado",4
1234,1,"pendiente",1
1235,6,"cancelado",6
1236,2,"cancelado",2
1237,7,"pendiente",7
1238,4,"cancelado",4
1239,1,"pendiente",1
1240,6,"cancelado",6
1241,2,"cancelado",2
1242,7,"pendiente",7
1243,4,"cancelado",4
1244,1,"pendiente",1
1245,6,"cancelado",6
1246,2,"cancelado",2
1247,7,"pendiente",7
1248,4,"cancelado",4
1249,1,"pendiente",1
1250,6,"cancelado",6
1251,2,"cancelado",2
1252,7,"pendiente",7
1253,4,"cancelado",4
1254,1,"pendiente",1
1255,6,"cancelado",6
1256,2,"cancelado",2
1257,7,"pendiente",7
1258,4,"cancelado",4
1259,1,"pendiente",1
1260,6,"cancelado",6
1261,2,"cancelado",2
1262,7,"pendiente",7
1263,4,"cancelado",4
1264,1,"pendiente",1
1265,6,"cancelado",6
1266,2,"cancelado",2
1267,7,"pendiente",7
1268,4,"cancelado",4
1269,1,"pendiente",1
1270,6,"cancelado",6
1271,2,"cancelado",2
1272,7,"pendiente",7
1273,4,"cancelado",4
1274,1,"pendiente",1
1275,6,"cancelado",6
1276,2,"cancelado",2
1277,7,"pendiente",7
1278,4,"cancelado",4
1279,1,"pendiente",1
1280,6,"cancelado",6
1281,2,"cancelado",2
1282,7,"pendiente",7
1283,4,"cancelado",4
1284,1,"pendiente",1
1285,6,"cancelado",6
1286,2,"cancelado",2
1287,7,"pendiente",7
1288,4,"cancelado",4
1289,1,"pendiente",1
1290,6,"cancelado",6
1291,2,"cancelado",2
1292,7,"pendiente",7
1293,4,"cancelado",4
1294,1,"pendiente",1
1295,6,"cancelado",6
1296,2,"cancelado",2
1297,7,"pendiente",7
1298,4,"cancelado",4
1299,1,"pendiente",1
1300,6,"cancelado",6
1301,2,"cancelado",2
1302,7,"pendiente",7
1303,4,"cancelado",4
1304,1,"pendiente",1
1305,6,"cancelado",6
1306,2,"cancelado",2
1307,7,"pendiente",7
1308,4,"cancelado",4
1309,1,"pendiente",1
1310,6,"cancelado",6
1311,2,"cancelado",2
1312,7,"pendiente",7
1313,4,"cancelado",4
1314,1,"pendiente",1
1315,6,"cancelado",6
1316,2,"cancelado",2
1317,7,"pendiente",7
1318,4,"cancelado",4
1319,1,"pendiente",1
1320,6,"cancelado",6
1321,2,"cancelado",2
1322,7,"pendiente",7
1323,4,"cancelado",4
1324,1,"pendiente",1
1325,6,"cancelado",6
1326,2,"cancelado",2
1327,7,"pendiente",7
1328,4,"cancelado",4
1329,1,"pendiente",1
1330,6,"cancelado",6
1331,2,"cancelado",2
1332,7,"pendiente",7
1333,4,"cancelado",4
1334,1,"pendiente",1
1335,6,"cancelado",6
1336,2,"cancelado",2
1337,7,"pendiente",7
1338,4,"cancelado",4
1339,1,"pendiente",1
1340,6,"cancelado",6
1341,2,"cancelado",2
1342,7,"pendiente",7
1343,4,"cancelado",4
1344,1,"pendiente",1
1345,6,"cancelado",6
1346,2,"cancelado",2
1347,7,"pendiente",7
1348,4,"cancelado",4
1349,1,"pendiente",1
1350,6,"cancelado",6
1351,2,"cancelado",2
1352,7,"pendiente",7
1353,4,"cancelado",4
1354,1,"pendiente",1
1355,6,"cancelado",6
1356,2,"cancelado",2
1357,7,"pendiente",7
1358,4,"cancelado",4
1359,1,"pendiente",1
1360,6,"cancelado",6
1361,2,"cancelado",2
1362,7,"pendiente",7
1363,4,"cancelado",4
1364,1,"pendiente",1
1365,6,"cancelado",6
1366,2,"cancelado",2
1367,7,"pendiente",7
1368,4,"cancelado",4
1369,1,"pendiente",1
1370,6,"cancelado",6
1371,2,"cancelado",2
1372,7,"pendiente",7
1373,4,"cancelado",4
1374,1,"pendiente",1
1375,6,"cancelado",6
1376,2,"cancelado",2
1377,7,"pendiente",7
1378,4,"cancelado",4
1379,1,"pendiente",1
1380,6,"cancelado",6
1381,2,"cancelado",2
1382,7,"pendiente",7
1383,4,"cancelado",4
1384,1,"pendiente",1
1385,6,"cancelado",6
1386,2,"cancelado",2
1387,7,"pendiente",7
1388,4,"cancelado",4
1389,1,"pendiente",1
1390,6,"cancelado",6
1391,2,"cancelado",2
1392,7,"pendiente",7
1393,4,"cancelado",4
1394,1,"pendiente",1
1395,6,"cancelado",6
1396,2,"cancelado",2
1397,7,"pendiente",7
1398,4,"cancelado",4
1399,1,"pendiente",1
1400,6,"cancelado",6
1401,2,"cancelado",2
1402,7,"pendiente",7
1403,4,"cancelado",4
1404,1,"pendiente",1
1405,6,"cancelado",6
1406,2,"cancelado",2
1407,7,"pendiente",7
1408,4,"cancelado",4
1409,1,"pendiente",1
1410,6,"cancelado",6
1411,2,"cancelado",2
1412,7,"pendiente",7
1413,4,"cancelado",4
1414,1,"pendiente",1
1415,6,"cancelado",6
1416,2,"cancelado",2
1417,7,"pendiente",7
1418,4,"cancelado",4
1419,1,"pendiente",1
1420,6,"cancelado",6
1421,2,"cancelado",2
1422,7,"pendiente",7
1423,4,"cancelado",4
1424,1,"pendiente",1
1425,6,"cancelado",6
1426,2,"cancelado",2
1427,7,"pendiente",7
1428,4,"cancelado",4
1429,1,"pendiente",1
1430,6,"cancelado",6
1431,2,"cancelado",2
1432,7,"pendiente",7
1433,4,"cancelado",4
1434,1,"pendiente",1
1435,6,"cancelado",6
1436,2,"cancelado",2
1437,7,"pendiente",7
1438,4,"cancelado",4
1439,1,"pendiente",1
1440,6,"cancelado",6
1441,2,"cancelado",2
1442,7,"pendiente",7
1443,4,"cancelado",4
1444,1,"pendiente",1
1445,6,"cancelado",6
1446,2,"cancelado",2
1447,7,"pendiente",7
1448,4,"cancelado",4
1449,1,"pendiente",1
1450,6,"cancelado",6
1451,2,"cancelado",2
1452,7,"pendiente",7
1453,4,"cancelado",4
1454,1,"pendiente",1
1455,6,"cancelado",6
1456,2,"cancelado",2
1457,7,"pendiente",7
1458,4,"cancelado",4
1459,1,"pendiente",1
1460,6,"cancelado",6
1461,2,"cancelado",2
1462,7,"pendiente",7
1463,4,"cancelado",4
1464,1,"pendiente",1
1465,6,"cancelado",6
1466,2,"cancelado",2
1467,7,"pendiente",7
1468,4,"cancelado",4
1469,1,"pendiente",1
1470,6,"cancelado",6
1471,2,"cancelado",2
1472,7,"pendiente",7
1473,4,"cancelado",4
1474,1,"pendiente",1
1475,6,"cancelado",6
1476,2,"cancelado",2
1477,7,"pendiente",7
1478,4,"cancelado",4
1479,1,"pendiente",1
1480,6,"cancelado",6
1481,2,"cancelado",2
1482,7,"pendiente",7
1483,4,"cancelado",4
1484,1,"pendiente",1
1485,6,"cancelado",6
1486,2,"cancelado",2
1487,7,"pendiente",7
1488,4,"cancelado",4
1489,1,"pendiente",1
1490,6,"cancelado",6
1491,2,"cancelado",2
1492,7,"pendiente",7
1493,4,"cancelado",4
1494,1,"pendiente",1
1495,6,"cancelado",6
1496,2,"cancelado",2
1497,7,"pendiente",7
1498,4,"cancelado",4
1499,1,"pendiente",1
1500,6,"cancelado",6
1501,2,"cancelado",2
1502,7,"pendiente",7
1503,4,"cancelado",4
1504,1,"pendiente",1
1505,6,"cancelado",6
1506,2,"cancelado",2
1507,7,"pendiente",7
1508,4,"cancelado",4
1509,1,"pendiente",1
1510,6,"cancelado",6
1511,2,"cancelado",2
1512,7,"pendiente",7
1513,4,"cancelado",4
1514,1,"pendiente",1
1515,6,"cancelado",6
1516,2,"cancelado",2
1517,7,"pendiente",7
1518,4,"cancelado",4
1519,1,"pendiente",1
1520,6,"cancelado",6
1521,2,"cancelado",2
1522,7,"pendiente",7
1523,4,"cancelado",4
1524,1,"pendiente",1
1525,6,"cancelado",6
1526,2,"cancelado",2
1527,7,"pendiente",7
1528,4,"cancelado",4
1529,1,"pendiente",1
1530,6,"cancelado",6
1531,2,"cancelado",2
1532,7,"pendiente",7
1533,4,"cancelado",4
1534,1,"pendiente",1
1535,6,"cancelado",6
1536,2,"cancelado",2
1537,7,"pendiente",7
1538,4,"cancelado",4
1539,1,"pendiente",1
1540,6,"cancelado",6
1541,2,"cancelado",2
1542,7,"pendiente",7
1543,4,"cancelado",4
1544,1,"pendiente",1
1545,6,"cancelado",6
1546,2,"cancelado",2
1547,7,"pendiente",7
1548,4,"cancelado",4
1549,1,"pendiente",1
1550,6,"cancelado",6
1551,2,"cancelado",2
1552,7,"pendiente",7
1553,4,"cancelado",4
1554,1,"pendiente",1
1555,6,"cancelado",6
1556,2,"cancelado",2
1557,7,"pendiente",7
1558,4,"cancelado",4
1559,1,"pendiente",1
1560,6,"cancelado",6
1561,2,"cancelado",2
1562,7,"pendiente",7
1563,4,"cancelado",4
1564,1,"pendiente",1
1565,6,"cancelado",6
1566,2,"cancelado",2
1567,7,"pendiente",7
1568,4,"cancelado",4
1569,1,"pendiente",1
1570,6,"cancelado",6
1571,2,"cancelado",2
1572,7,"pendiente",7
1573,4,"cancelado",4
1574,1,"pendiente",1
1575,6,"cancelado",6
1576,2,"cancelado",2
1577,7,"pendiente",7
1578,4,"cancelado",4
1579,1,"pendiente",1
1580,6,"cancelado",6
1581,2,"cancelado",2
1582,7,"pendiente",7
1583,4,"cancelado",4
1584,1,"pendiente",1
1585,6,"cancelado",6
1586,2,"cancelado",2
1587,7,"pendiente",7
1588,4,"cancelado",4
1589,1,"pendiente",1
1590,6,"cancelado",6
1591,2,"cancelado",2
1592,7,"pendiente",7
1593,4,"cancelado",4
1594,1,"pendiente",1
1595,6,"cancelado",6
1596,2,"cancelado",2
1597,7,"pendiente",7
1598,4,"cancelado",4
1599,1,"pendiente",1
1600,6,"cancelado",6
1601,2,"cancelado",2
1602,7,"pendiente",7
1603,4,"cancelado",4
1604,1,"pendiente",1
1605,6,"cancelado",6
1606,2,"cancelado",2
1607,7,"pendiente",7
1608,4,"cancelado",4
1609,1,"pendiente",1
1610,6,"cancelado",6
1611,2,"cancelado",2
1612,7,"pendiente",7
1613,4,"cancelado",4
1614,1,"pendiente",1
1615,6,"cancelado",6
1616,2,"cancelado",2
1617,7,"pendiente",7
1618,4,"cancelado",4
1619,1,"pendiente",1
1620,6,"cancelado",6
1621,2,"cancelado",2
1622,7,"pendiente",7
1623,4,"cancelado",4
1624,1,"pendiente",1
1625,6,"cancelado",6
1626,2,"cancelado",2
1627,7,"pendiente",7
1628,4,"cancelado",4
1629,1,"pendiente",1
1630,6,"cancelado",6
1631,2,"cancelado",2
1632,7,"pendiente",7
1633,4,"cancelado",4
1634,1,"pendiente",1
1635,6,"cancelado",6
1636,2,"cancelado",2
1637,7,"pendiente",7
1638,4,"cancelado",4
1639,1,"pendiente",1
1640,6,"cancelado",6
1641,2,"cancelado",2
1642,7,"pendiente",7
1643,4,"cancelado",4
1644,1,"pendiente",1
1645,6,"cancelado",6
1646,2,"cancelado",2
1647,7,"pendiente",7
1648,4,"cancelado",4
1649,1,"pendiente",1
1650,6,"cancelado",6
1651,2,"cancelado",2
1652,7,"pendiente",7
1653,4,"cancelado",4
1654,1,"pendiente",1
1655,6,"cancelado",6
1656,2,"cancelado",2
1657,7,"pendiente",7
1658,4,"cancelado",4
1659,1,"pendiente",1
1660,6,"cancelado",6
1661,2,"cancelado",2
1662,7,"pendiente",7
1663,4,"cancelado",4
1664,1,"pendiente",1
1665,6,"cancelado",6
1666,2,"cancelado",2
1667,7,"pendiente",7
1668,4,"cancelado",4
1669,1,"pendiente",1
1670,6,"cancelado",6
1671,2,"cancelado",2
1672,7,"pendiente",7
1673,4,"cancelado",4
1674,1,"pendiente",1
1675,6,"cancelado",6
1676,2,"cancelado",2
1677,7,"pendiente",7
1678,4,"cancelado",4
1679,1,"pendiente",1
1680,6,"cancelado",6
1681,2,"cancelado",2
1682,7,"pendiente",7
1683,4,"cancelado",4
1684,1,"pendiente",1
1685,6,"cancelado",6
1686,2,"cancelado",2
1687,7,"pendiente",7
1688,4,"cancelado",4
1689,1,"pendiente",1
1690,6,"cancelado",6
1691,2,"cancelado",2
1692,7,"pendiente",7
1693,4,"cancelado",4
1694,1,"pendiente",1
1695,6,"cancelado",6
1696,2,"cancelado",2
1697,7,"pendiente",7
1698,4,"cancelado",4
1699,1,"pendiente",1
1700,6,"cancelado",6
1701,2,"cancelado",2
1702,7,"pendiente",7
1703,4,"cancelado",4
1704,1,"pendiente",1
1705,6,"cancelado",6
1706,2,"cancelado",2
1707,7,"pendiente",7
1708,4,"cancelado",4
1709,1,"pendiente",1
1710,6,"cancelado",6
1711,2,"cancelado",2
1712,7,"pendiente",7
1713,4,"cancelado",4
1714,1,"pendiente",1
1715,6,"cancelado",6
1716,2,"cancelado",2
1717,7,"pendiente",7
1718,4,"cancelado",4
1719,1,"pendiente",1
1720,6,"cancelado",6
1721,2,"cancelado",2
1722,7,"pendiente",7
1723,4,"cancelado",4
1724,1,"pendiente",1
1725,6,"cancelado",6
1726,2,"cancelado",2
1727,7,"pendiente",7
1728,4,"cancelado",4
1729,1,"pendiente",1
1730,6,"cancelado",6
1731,2,"cancelado",2
1732,7,"pendiente",7
1733,4,"cancelado",4
1734,1,"pendiente",1
1735,6,"cancelado",6
1736,2,"cancelado",2
1737,7,"pendiente",7
1738,4,"cancelado",4
1739,1,"pendiente",1
1740,6,"cancelado",6
1741,2,"cancelado",2
1742,7,"pendiente",7
1743,4,"cancelado",4
1744,1,"pendiente",1
1745,6,"cancelado",6
1746,2,"cancelado",2
1747,7,"pendiente",7
1748,4,"cancelado",4
1749,1,"pendiente",1
1750,6,"cancelado",6
1751,2,"cancelado",2
1752,7,"pendiente",7
1753,4,"cancelado",4
1754,1,"pendiente",1
1755,6,"cancelado",6
1756,2,"cancelado",2
1757,7,"pendiente",7
1758,4,"cancelado",4
1759,1,"pendiente",1
1760,6,"cancelado",6
1761,2,"cancelado",2
1762,7,"pendiente",7
1763,4,"cancelado",4
1764,1,"pendiente",1
1765,6,"cancelado",6
1766,2,"cancelado",2
1767,7,"pendiente",7
1768,4,"cancelado",4
1769,1,"pendiente",1
1770,6,"cancelado",6
1771,2,"cancelado",2
1772,7,"pendiente",7
1773,4,"cancelado",4
1774,1,"pendiente",1
1775,6,"cancelado",6
1776,2,"cancelado",2
1777,7,"pendiente",7
1778,4,"cancelado",4
1779,1,"pendiente",1
1780,6,"cancelado",6
1781,2,"cancelado",2
1782,7,"pendiente",7
1783,4,"cancelado",4
1784,1,"pendiente",1
1785,6,"cancelado",6
1786,2,"cancelado",2
1787,7,"pendiente",7
1788,4,"cancelado",4
1789,1,"pendiente",1
1790,6,"cancelado",6
1791,2,"cancelado",2
1792,7,"pendiente",7
1793,4,"cancelado",4
1794,1,"pendiente",1
1795,6,"cancelado",6
1796,2,"cancelado",2
1797,7,"pendiente",7
1798,4,"cancelado",4
1799,1,"pendiente",1
1800,6,"cancelado",6
1801,2,"cancelado",2
1802,7,"pendiente",7
1803,4,"cancelado",4
1804,1,"pendiente",1
1805,6,"cancelado",6
1806,2,"cancelado",2
1807,7,"pendiente",7
1808,4,"cancelado",4
1809,1,"pendiente",1
1810,6,"cancelado",6
1811,2,"cancelado",2
1812,7,"pendiente",7
1813,4,"cancelado",4
1814,1,"pendiente",1
1815,6,"cancelado",6
1816,2,"cancelado",2
1817,7,"pendiente",7
1818,4,"cancelado",4
1819,1,"pendiente",1
1820,6,"cancelado",6
1821,2,"cancelado",2
1822,7,"pendiente",7
1823,4,"cancelado",4
1824,1,"pendiente",1
1825,6,"cancelado",6
1826,2,"cancelado",2
1827,7,"pendiente",7
1828,4,"cancelado",4
1829,1,"pendiente",1
1830,6,"cancelado",6
1831,2,"cancelado",2
1832,7,"pendiente",7
1833,4,"cancelado",4
1834,1,"pendiente",1
1835,6,"cancelado",6
1836,2,"cancelado",2
1837,7,"pendiente",7
1838,4,"cancelado",4
1839,1,"pendiente",1
1840,6,"cancelado",6
1841,2,"cancelado",2
1842,7,"pendiente",7
1843,4,"cancelado",4
1844,1,"pendiente",1
1845,6,"cancelado",6
1846,2,"cancelado",2
1847,7,"pendiente",7
1848,4,"cancelado",4
1849,1,"pendiente",1
1850,6,"cancelado",6
1851,2,"cancelado",2
1852,7,"pendiente",7
1853,4,"cancelado",4
1854,1,"pendiente",1
1855,6,"cancelado",6
1856,2,"cancelado",2
1857,7,"pendiente",7
1858,4,"cancelado",4
1859,1,"pendiente",1
1860,6,"cancelado",6
1861,2,"cancelado",2
1862,7,"pendiente",7
1863,4,"cancelado",4
1864,1,"pendiente",1
1865,6,"cancelado",6
1866,2,"cancelado",2
1867,7,"pendiente",7
1868,4,"cancelado",4
1869,1,"pendiente",1
1870,6,"cancelado",6
1871,2,"cancelado",2
1872,7,"pendiente",7
1873,4,"cancelado",4
1874,1,"pendiente",1
1875,6,"cancelado",6
1876,2,"cancelado",2
1877,7,"pendiente",7
1878,4,"cancelado",4
1879,1,"pendiente",1
1880,6,"cancelado",6
1881,2,"cancelado",2
1882,7,"pendiente",7
1883,4,"cancelado",4
1884,1,"pendiente",1
1885,6,"cancelado",6
1886,2,"cancelado",2
1887,7,"pendiente",7
1888,4,"cancelado",4
1889,1,"pendiente",1
1890,6,"cancelado",6
1891,2,"cancelado",2
1892,7,"pendiente",7
1893,4,"cancelado",4
1894,1,"pendiente",1
1895,6,"cancelado",6
1896,2,"cancelado",2
1897,7,"pendiente",7
1898,4,"cancelado",4
1899,1,"pendiente",1
1900,6,"cancelado",6
1901,2,"cancelado",2
1902,7,"pendiente",7
1903,4,"cancelado",4
1904,1,"pendiente",1
1905,6,"cancelado",6
1906,2,"cancelado",2
1907,7,"pendiente",7
1908,4,"cancelado",4
1909,1,"pendiente",1
1910,6,"cancelado",6
1911,2,"cancelado",2
1912,7,"pendiente",7
1913,4,"cancelado",4
1914,1,"pendiente",1
1915,6,"cancelado",6
1916,2,"cancelado",2
1917,7,"pendiente",7
1918,4,"cancelado",4
1919,1,"pendiente",1
1920,6,"cancelado",6
1921,2,"cancelado",2
1922,7,"pendiente",7
1923,4,"cancelado",4
1924,1,"pendiente",1
1925,6,"cancelado",6
1926,2,"cancelado",2
1927,7,"pendiente",7
1928,4,"cancelado",4
1929,1,"pendiente",1
1930,6,"cancelado",6
1931,2,"cancelado",2
1932,7,"pendiente",7
1933,4,"cancelado",4
1934,1,"pendiente",1
1935,6,"cancelado",6
1936,2,"cancelado",2
1937,7,"pendiente",7
1938,4,"cancelado",4
1939,1,"pendiente",1
1940,6,"cancelado",6
1941,2,"cancelado",2
1942,7,"pendiente",7
1943,4,"cancelado",4
1944,1,"pendiente",1
1945,6,"cancelado",6
1946,2,"cancelado",2
1947,7,"pendiente",7
1948,4,"cancelado",4
1949,1,"pendiente",1
1950,2,"cancelado",2
1951,7,"cancelado",7
1952,4,"pendiente",4
1953,1,"cancelado",1
1954,6,"pendiente",6
1955,2,"cancelado",2
1956,7,"cancelado",7
1957,4,"pendiente",4
1958,1,"cancelado",1
1959,6,"pendiente",6
1960,2,"cancelado",2
1961,7,"cancelado",7
1962,4,"pendiente",4
1963,1,"cancelado",1
1964,6,"pendiente",6
1965,2,"cancelado",2
1966,7,"cancelado",7
1967,4,"pendiente",4
1968,1,"cancelado",1
1969,6,"pendiente",6
1970,2,"cancelado",2
1971,7,"cancelado",7
1972,4,"pendiente",4
1973,1,"cancelado",1
1974,6,"pendiente",6
1975,2,"cancelado",2
1976,7,"cancelado",7
1977,4,"pendiente",4
1978,1,"cancelado",1
1979,6,"pendiente",6
1980,2,"cancelado",2
1981,7,"cancelado",7
1982,4,"pendiente",4
1983,1,"cancelado",1
1984,6,"pendiente",6
1985,2,"cancelado",2
1986,7,"cancelado",7
1987,4,"pendiente",4
1988,1,"cancelado",1
1989,6,"pendiente",6
1990,2,"cancelado",2
1991,7,"cancelado",7
1992,4,"pendiente",4
1993,1,"cancelado",1
1994,6,"pendiente",6
1995,2,"cancelado",2
1996,7,"cancelado",7
1997,4,"pendiente",4
1998,1,"cancelado",1
1999,6,"pendiente",6
2000,2,"cancelado",2
2001,7,"cancelado",7
2002,4,"pendiente",4
2003,1,"cancelado",1
2004,6,"pendiente",6
2005,2,"cancelado",2
2006,7,"cancelado",7
2007,4,"pendiente",4
2008,1,"cancelado",1
2009,6,"pendiente",6
2010,2,"cancelado",2
2011,7,"cancelado",7
2012,4,"pendiente",4
2013,1,"cancelado",1
2014,6,"pendiente",6
2015,2,"cancelado",2
2016,7,"cancelado",7
2017,4,"pendiente",4
2018,1,"cancelado",1
2019,6,"pendiente",6
2020,2,"cancelado",2
2021,7,"cancelado",7
2022,4,"pendiente",4
2023,1,"cancelado",1
2024,6,"pendiente",6
2025,2,"cancelado",2
2026,7,"cancelado",7
2027,4,"pendiente",4
2028,1,"cancelado",1
2029,6,"pendiente",6
2030,2,"cancelado",2
2031,7,"cancelado",7
2032,4,"pendiente",4
2033,1,"cancelado",1
2034,6,"pendiente",6
2035,2,"cancelado",2
2036,7,"cancelado",7
2037,4,"pendiente",4
2038,1,"cancelado",1
2039,6,"pendiente",6
2040,2,"cancelado",2
2041,7,"cancelado",7
2042,4,"pendiente",4
2043,1,"cancelado",1
2044,6,"pendiente",6
2045,2,"cancelado",2
2046,7,"cancelado",7
2047,4,"pendiente",4
2048,1,"cancelado",1
2049,6,"pendiente",6
2050,2,"cancelado",2
2051,7,"cancelado",7
2052,4,"pendiente",4
2053,1,"cancelado",1
2054,6,"pendiente",6
2055,2,"cancelado",2
2056,7,"cancelado",7
2057,4,"pendiente",4
2058,1,"cancelado",1
2059,6,"pendiente",6
2060,2,"cancelado",2
2061,7,"cancelado",7
2062,4,"pendiente",4
2063,1,"cancelado",1
2064,6,"pendiente",6
2065,2,"cancelado",2
2066,7,"cancelado",7
2067,4,"pendiente",4
2068,1,"cancelado",1
2069,6,"pendiente",6
2070,2,"cancelado",2
2071,7,"cancelado",7
2072,4,"pendiente",4
2073,1,"cancelado",1
2074,6,"pendiente",6
2075,2,"cancelado",2
2076,7,"cancelado",7
2077,4,"pendiente",4
2078,1,"cancelado",1
2079,6,"pendiente",6
2080,2,"cancelado",2
2081,7,"cancelado",7
2082,4,"pendiente",4
2083,1,"cancelado",1
2084,6,"pendiente",6
2085,2,"cancelado",2
2086,7,"cancelado",7
2087,4,"pendiente",4
2088,1,"cancelado",1
2089,6,"pendiente",6
2090,2,"cancelado",2
2091,7,"cancelado",7
2092,4,"pendiente",4
2093,1,"cancelado",1
2094,6,"pendiente",6
2095,2,"cancelado",2
2096,7,"cancelado",7
2097,4,"pendiente",4
2098,1,"cancelado",1
2099,6,"pendiente",6
2100,2,"cancelado",2
2101,7,"cancelado",7
2102,4,"pendiente",4
2103,1,"cancelado",1
2104,6,"pendiente",6
2105,2,"cancelado",2
2106,7,"cancelado",7
2107,4,"pendiente",4
2108,1,"cancelado",1
2109,6,"pendiente",6
2110,2,"cancelado",2
2111,7,"cancelado",7
2112,4,"pendiente",4
2113,1,"cancelado",1
2114,6,"pendiente",6
2115,2,"cancelado",2
2116,7,"cancelado",7
2117,4,"pendiente",4
2118,1,"cancelado",1
2119,6,"pendiente",6
2120,2,"cancelado",2
2121,7,"cancelado",7
2122,4,"pendiente",4
2123,1,"cancelado",1
2124,6,"pendiente",6
2125,2,"cancelado",2
2126,7,"cancelado",7
2127,4,"pendiente",4
2128,1,"cancelado",1
2129,6,"pendiente",6
2130,2,"cancelado",2
2131,7,"cancelado",7
2132,4,"pendiente",4
2133,1,"cancelado",1
2134,6,"pendiente",6
2135,2,"cancelado",2
2136,7,"cancelado",7
2137,4,"pendiente",4
2138,1,"cancelado",1
2139,6,"pendiente",6
2140,2,"cancelado",2
2141,7,"cancelado",7
2142,4,"pendiente",4
2143,1,"cancelado",1
2144,6,"pendiente",6
2145,2,"cancelado",2
2146,7,"cancelado",7
2147,4,"pendiente",4
2148,1,"cancelado",1
2149,6,"pendiente",6
2150,2,"cancelado",2
2151,7,"cancelado",7
2152,4,"pendiente",4
2153,1,"cancelado",1
2154,6,"pendiente",6
2155,2,"cancelado",2
2156,7,"cancelado",7
2157,4,"pendiente",4
2158,1,"cancelado",1
2159,6,"pendiente",6
2160,2,"cancelado",2
2161,7,"cancelado",7
2162,4,"pendiente",4
2163,1,"cancelado",1
2164,6,"pendiente",6
2165,2,"cancelado",2
2166,7,"cancelado",7
2167,4,"pendiente",4
2168,1,"cancelado",1
2169,6,"pendiente",6
2170,2,"cancelado",2
2171,7,"cancelado",7
2172,4,"pendiente",4
2173,1,"cancelado",1
2174,6,"pendiente",6
2175,2,"cancelado",2
2176,7,"cancelado",7
2177,4,"pendiente",4
2178,1,"cancelado",1
2179,6,"pendiente",6
2180,2,"cancelado",2
2181,7,"cancelado",7
2182,4,"pendiente",4
2183,1,"cancelado",1
2184,6,"pendiente",6
2185,2,"cancelado",2
2186,7,"cancelado",7
2187,4,"pendiente",4
2188,1,"cancelado",1
2189,6,"pendiente",6
2190,2,"cancelado",2
2191,7,"cancelado",7
2192,4,"pendiente",4
2193,1,"cancelado",1
2194,6,"pendiente",6
2195,2,"cancelado",2
2196,7,"cancelado",7
2197,4,"pendiente",4
2198,1,"cancelado",1
2199,6,"pendiente",6
2200,2,"cancelado",2
2201,7,"cancelado",7
2202,4,"pendiente",4
2203,1,"cancelado",1
2204,6,"pendiente",6
2205,2,"cancelado",2
2206,7,"cancelado",7
2207,4,"pendiente",4
2208,1,"cancelado",1
2209,6,"pendiente",6
2210,2,"cancelado",2
2211,7,"cancelado",7
2212,4,"pendiente",4
2213,1,"cancelado",1
2214,6,"pendiente",6
2215,2,"cancelado",2
2216,7,"cancelado",7
2217,4,"pendiente",4
2218,1,"cancelado",1
2219,6,"pendiente",6
2220,2,"cancelado",2
